name,tn,fp,fn,tp,r2,precision,recall,mcc
FractionRecursiveCalls,970,0,97,0,-0.10000000000000031,0.0,0.0,0.0
IsNested,873,97,88,9,-1.0979381443298974,8.49056603773585,9.278350515463918,-0.006935590028770417
FractionNestedMethods,970,0,97,0,-0.10000000000000031,0.0,0.0,0.0
FractionFunctions,875,95,81,16,-0.9958762886597943,14.414414414414415,16.49484536082474,0.06309906459055672
IsFunction,847,123,87,10,-1.3814432989690726,7.518796992481203,10.309278350515463,-0.020636145315231856
HasFunctionParameters,856,114,71,26,-1.0979381443298974,18.571428571428573,26.804123711340207,0.12815895893309934
FractionHigherOrderCalls,951,19,87,10,-0.20206185567010349,34.48275862068966,10.309278350515463,0.1476343251433561
FractionFunctionCalls,16,954,0,97,-9.81855670103093,9.229305423406279,100.0,0.03901742761214631
FractionCurrying,97,873,9,88,-9.002061855670105,9.157127991675338,90.72164948453609,0.006935590028770417
FractionPatternMatching,953,17,89,8,-0.20206185567010349,32.0,8.24742268041237,0.12343453509036703
FractionLazyValues,287,683,30,67,-7.08556701030928,8.933333333333334,69.0721649484536,-0.00843107765663178
HasMultipleParameterLists,757,213,45,52,-1.9257731958762894,19.622641509433965,53.608247422680414,0.21058539822796601
FunctionalScoreFraction,666,304,27,70,-2.7536082474226813,18.71657754010695,72.16494845360825,0.2459760185072363
FractionVariables,970,0,97,0,-0.10000000000000031,0.0,0.0,0.0
FractionVariableDefinitions,970,0,97,0,-0.10000000000000031,0.0,0.0,0.0
FractionInnerVariableAssignment,970,0,97,0,-0.10000000000000031,0.0,0.0,0.0
FractionOuterVariableUsage,970,0,97,0,-0.10000000000000031,0.0,0.0,0.0
FractionOuterVariableAssignment,970,0,97,0,-0.10000000000000031,0.0,0.0,0.0
FractionSideEffects,760,210,81,16,-2.3000000000000007,7.079646017699115,16.49484536082474,-0.036267513957902696
IsSideEffect,760,210,81,16,-2.3000000000000007,7.079646017699115,16.49484536082474,-0.036267513957902696
FractionSideEffectCalls,3,967,0,97,-9.965979381443303,9.11654135338346,100.0,0.016791512356486685
FractionSideEffectFunctions,970,0,97,0,-0.10000000000000031,0.0,0.0,0.0
ImperativeScoreFraction,760,210,81,16,-2.3000000000000007,7.079646017699115,16.49484536082474,-0.036267513957902696
HasPointsFraction,653,317,27,70,-2.901030927835053,18.087855297157624,72.16494845360825,0.23609611193115285
ParadigmScoreFraction,674,296,27,70,-2.662886597938145,19.12568306010929,72.16494845360825,0.25222133114514733
