name,tn,fp,fn,tp,r2,precision,recall,mcc
FractionRecursiveCalls,5475,0,510,0,-0.09315068493150691,0.0,0.0,0.0
IsNested,548,4927,51,459,-9.670008058017729,8.522094318603788,90.0,8.496037974520456e-05
FractionNestedMethods,5475,0,510,0,-0.09315068493150691,0.0,0.0,0.0
FractionFunctions,4486,989,279,231,-1.7178726833199036,18.934426229508198,45.294117647058826,0.18871936427707364
IsFunction,5303,172,462,48,-0.3589363416599518,21.818181818181817,9.411764705882353,0.09303543485759065
HasFunctionParameters,4176,1299,275,235,-2.3737630942788077,15.31942633637549,46.07843137254902,0.14294201855907232
FractionHigherOrderCalls,5215,260,377,133,-0.3653666398066078,33.842239185750635,26.078431372549023,0.24042490496533517
FractionFunctionCalls,5310,165,444,66,-0.30535052377115246,28.57142857142857,12.941176470588237,0.14388819260712118
FractionCurrying,5465,10,501,9,-0.09529411764705897,47.368421052631575,1.7647058823529411,0.07852012519550271
FractionPatternMatching,5377,98,461,49,-0.19817888799355377,33.33333333333333,9.607843137254903,0.14101844644887263
FractionLazyValues,5462,13,494,16,-0.08672038678485094,55.172413793103445,3.1372549019607843,0.11659250841657309
HasMultipleParameterLists,3256,2219,211,299,-4.2085414987912975,11.87450357426529,58.62745098039216,0.10235226208205822
FunctionalScoreFraction,3923,1552,237,273,-2.834601128122482,14.95890410958904,53.529411764705884,0.1527199663800015
FractionVariables,5446,29,502,8,-0.13816277195809845,21.62162162162162,1.5686274509803921,0.037007030414012626
FractionVariableDefinitions,5475,0,510,0,-0.09315068493150691,0.0,0.0,0.0
FractionInnerVariableAssignment,5475,0,510,0,-0.09315068493150691,0.0,0.0,0.0
FractionOuterVariableUsage,5446,29,502,8,-0.13816277195809845,21.62162162162162,1.5686274509803921,0.037007030414012626
FractionOuterVariableAssignment,5,5470,0,510,-10.724576954069299,8.528428093645484,100.0,0.008825258527081334
FractionSideEffects,4972,503,400,110,-0.9355197421434329,17.94453507340946,21.568627450980394,0.11401161963891836
IsSideEffect,5055,420,439,71,-0.8412087026591459,14.460285132382891,13.92156862745098,0.06359096613752319
FractionSideEffectCalls,4907,568,459,51,-1.2013053988718778,8.239095315024231,10.0,-0.0034330191710676768
FractionSideEffectFunctions,5475,0,510,0,-0.09315068493150691,0.0,0.0,0.0
ImperativeScoreFraction,4963,512,399,111,-0.9526672038678488,17.81701444622793,21.764705882352942,0.11348807916243658
HasPointsFraction,2208,3267,114,396,-6.246946011281225,10.81081081081081,77.64705882352942,0.10299506999749201
ParadigmScoreFraction,2567,2908,156,354,-5.567477840451249,10.852237890864501,69.41176470588235,0.09137665527651008
