name,tn,fp,fn,tp,r2,precision,recall,mcc
FractionRecursiveCalls,1145,0,261,0,-0.22794759825327526,0.0,0.0,0.0
IsNested,115,1030,26,235,-3.9682477538523315,18.57707509881423,90.03831417624522,0.001061178074582293
FractionNestedMethods,1145,0,261,0,-0.22794759825327526,0.0,0.0,0.0
FractionFunctions,1117,28,248,13,-0.298519299302314,31.70731707317073,4.980842911877394,0.058588993346883805
IsFunction,455,690,107,154,-2.7497097157389283,18.246445497630333,59.00383141762452,-0.00998677963133404
HasFunctionParameters,1070,75,217,44,-0.3737957804212888,36.97478991596639,16.85823754789272,0.14399103784064812
FractionHigherOrderCalls,1133,12,249,12,-0.22794759825327526,50.0,4.597701149425287,0.10654936644171693
FractionFunctionCalls,1141,4,256,5,-0.22324281818333924,55.55555555555556,1.9157088122605364,0.07636532182628498
FractionCurrying,1145,0,261,0,-0.22794759825327526,0.0,0.0,0.0
FractionPatternMatching,1126,19,255,6,-0.2891097391624422,24.0,2.2988505747126435,0.018813554092382254
FractionLazyValues,2,1143,0,261,-4.3775636199367565,18.58974358974359,100.0,0.018019758001245986
HasMultipleParameterLists,1036,109,200,61,-0.4537770416101994,35.88235294117647,23.371647509578544,0.16519682083817602
FunctionalScoreFraction,953,192,168,93,-0.6937208251769313,32.631578947368425,35.63218390804598,0.1824411974069042
FractionVariables,1136,9,250,11,-0.21853803811340344,55.00000000000001,4.21455938697318,0.112573130030654
FractionVariableDefinitions,1145,0,261,0,-0.22794759825327526,0.0,0.0,0.0
FractionInnerVariableAssignment,1145,0,261,0,-0.22794759825327526,0.0,0.0,0.0
FractionOuterVariableUsage,1136,9,250,11,-0.21853803811340344,55.00000000000001,4.21455938697318,0.112573130030654
FractionOuterVariableAssignment,2,1143,0,261,-4.3775636199367565,18.58974358974359,100.0,0.018019758001245986
FractionSideEffects,928,217,150,111,-0.7266542856664828,33.84146341463415,42.5287356321839,0.2167509511731699
IsSideEffect,930,215,150,111,-0.717244725526611,34.04907975460122,42.5287356321839,0.2188226737201413
FractionSideEffectCalls,1129,16,255,6,-0.27499539895263436,27.27272727272727,2.2988505747126435,0.028241984407085037
FractionSideEffectFunctions,915,230,211,50,-1.0748080108417408,17.857142857142858,19.157088122605366,-0.009056775196131408
ImperativeScoreFraction,928,217,150,111,-0.7266542856664828,33.84146341463415,42.5287356321839,0.2167509511731699
HasPointsFraction,1004,141,160,101,-0.4161388010507121,41.735537190082646,38.69731800766284,0.27174494814600036
ParadigmScoreFraction,967,178,177,84,-0.6701969248272517,32.06106870229007,32.18390804597701,0.16613530547200034
