name,count,mean,std,min,25%,50%,75%,max
Switch count,11162,0.3093531625156782,0.902703459343485,0.0,0.0,0.0,0.0,28.0
Max stretch,11162,5.5826912739652395,15.268983231838503,0.0,0.0,0.0,5.0,443.0
Min stretch,11162,5.572119691811503,15.25488267860043,0.0,0.0,0.0,5.0,443.0
Average stretch,11162,5.578087354422241,15.262962947590767,0.0,0.0,0.0,5.0,443.0
parParadigmEntropyBool,11162,0.035182370845915044,0.17626674058325062,-0.0,0.0,-0.0,-0.0,1.0
parParadigmGiniBool,11162,0.5300969101476043,0.48960673030054214,0.0,0.0,1.0,1.0,1.0
parParadigmEntropyCount,11162,0.026544927389961753,0.14992239111473496,-0.0,0.0,-0.0,-0.0,1.0
parParadigmGiniCount,11162,0.5261920545551771,0.4920438866480448,0.0,0.0,1.0,1.0,1.0
parParadigmEntropyFraction,11162,0.005453815907938466,0.07189798066686841,-0.0,0.0,-0.0,-0.0,1.0
parParadigmGiniFraction,11162,0.7437626669852078,0.4349420188682964,0.0,0.0,1.0,1.0,1.0
