name,count,mean,std,min,25%,50%,75%,max
Switch count,66033,0.5112898096406342,1.743674892284343,0.0,0.0,0.0,0.0,45.0
Max stretch,66033,4.331561491981282,12.789998520807364,0.0,0.0,0.0,3.0,436.0
Min stretch,66033,4.3285629912316566,12.781713729389427,0.0,0.0,0.0,3.0,436.0
Average stretch,66033,4.33018411429206,12.785717303444342,0.0,0.0,0.0,3.0,436.0
parParadigmEntropyBool,66033,0.1711043353232728,0.3531580396702504,-0.0,0.0,0.0,0.0,1.0
parParadigmGiniBool,66033,0.4670457646833393,0.45024765258176613,0.0,0.0,0.4444444444444444,1.0,1.0
parParadigmEntropyCount,66033,0.129757712704965,0.28653419034487587,-0.0,0.0,0.0,0.0,1.0
parParadigmGiniCount,66033,0.44366787211202136,0.4579583387796417,0.0,0.0,0.2659279778393353,1.0,1.0
parParadigmEntropyFraction,66033,0.03324021855221655,0.17332245817016373,-0.0,0.0,0.0,0.0,1.0
parParadigmGiniFraction,66033,0.5542254303172058,0.4881450239921099,0.0,0.0,1.0,1.0,1.0
