name,count,mean,std,min,25%,50%,75%,max
Switch count,82753,0.29173564704602856,0.8784865764689636,0.0,0.0,0.0,0.0,77.0
Max stretch,82753,5.08258310876947,14.664052500865656,0.0,0.0,0.0,5.0,699.0
Min stretch,82753,5.075260111415901,14.653837669028828,0.0,0.0,0.0,5.0,699.0
Average stretch,82753,5.079552370473547,14.659918835328071,0.0,0.0,0.0,5.0,699.0
parParadigmEntropyBool,82753,0.031439065265384834,0.16718585204697137,-0.0,0.0,0.0,0.0,1.0
parParadigmGiniBool,82753,0.5328225223570935,0.49044109793453544,0.0,0.0,1.0,1.0,1.0
parParadigmEntropyCount,82753,0.0225126481268179,0.13923760907875277,-0.0,0.0,0.0,0.0,1.0
parParadigmGiniCount,82753,0.5291392463361291,0.49300157294494457,0.0,0.0,1.0,1.0,1.0
parParadigmEntropyFraction,82753,0.003973177855206174,0.061312095046629364,-0.0,0.0,0.0,0.0,1.0
parParadigmGiniFraction,82753,0.7346823831160201,0.44032725838317094,0.0,0.0,1.0,1.0,1.0
