name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
Switch count,433,132,301,30.484988452655887,27.615062761506277
Max stretch,1660,331,1329,19.93975903614458,69.24686192468619
Min stretch,1660,331,1329,19.93975903614458,69.24686192468619
Average stretch,1660,331,1329,19.93975903614458,69.24686192468619
parParadigmEntropyBool,364,115,249,31.59340659340659,24.05857740585774
parParadigmGiniBool,1554,226,1328,14.543114543114545,47.28033472803347
parParadigmEntropyCount,363,115,248,31.68044077134986,24.05857740585774
parParadigmGiniCount,1553,226,1327,14.552479072762395,47.28033472803347
parParadigmEntropyFraction,44,6,38,13.636363636363635,1.2552301255230125
parParadigmGiniFraction,2006,279,1727,13.90827517447657,58.36820083682008
