name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
Switch count,3594,493,3101,13.717306622148023,70.83333333333334
Max stretch,5625,660,4965,11.733333333333333,94.82758620689656
Min stretch,5624,660,4964,11.735419630156473,94.82758620689656
Average stretch,5625,660,4965,11.733333333333333,94.82758620689656
parParadigmEntropyBool,1330,107,1223,8.045112781954886,15.373563218390803
parParadigmGiniBool,3561,157,3404,4.408873911822521,22.557471264367816
parParadigmEntropyCount,1099,84,1015,7.643312101910828,12.068965517241379
parParadigmGiniCount,3340,135,3205,4.04191616766467,19.396551724137932
parParadigmEntropyFraction,258,3,255,1.1627906976744187,0.43103448275862066
parParadigmGiniFraction,4061,183,3878,4.506279241566117,26.29310344827586
