name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
Switch count,1343,55,1288,4.095309009679822,51.886792452830186
Max stretch,2402,86,2316,3.5803497085761866,81.13207547169812
Min stretch,2402,86,2316,3.5803497085761866,81.13207547169812
Average stretch,2402,86,2316,3.5803497085761866,81.13207547169812
parParadigmEntropyBool,889,53,836,5.961754780652419,50.0
parParadigmGiniBool,3305,66,3239,1.9969742813918305,62.264150943396224
parParadigmEntropyCount,889,53,836,5.961754780652419,50.0
parParadigmGiniCount,3305,66,3239,1.9969742813918305,62.264150943396224
parParadigmEntropyFraction,281,6,275,2.135231316725979,5.660377358490567
parParadigmGiniFraction,3498,49,3449,1.400800457404231,46.22641509433962
