name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
Switch count,942,734,208,77.91932059447984,34.55743879472693
Max stretch,3193,1772,1421,55.496398371437515,83.42749529190208
Min stretch,3193,1772,1421,55.496398371437515,83.42749529190208
Average stretch,3193,1772,1421,55.496398371437515,83.42749529190208
AvrParadigmEntropyBool,213,167,46,78.40375586854461,7.862523540489643
AvrParadigmGiniBool,1895,1090,805,57.519788918205805,51.31826741996234
MaxParadigmEntropyBool,213,167,46,78.40375586854461,7.862523540489643
MaxParadigmGiniBool,1895,1090,805,57.519788918205805,51.31826741996234
SumParadigmEntropyBool,213,167,46,78.40375586854461,7.862523540489643
SumParadigmGiniBool,1895,1090,805,57.519788918205805,51.31826741996234
AvrParadigmEntropyCount,187,142,45,75.93582887700535,6.685499058380414
AvrParadigmGiniCount,1886,1081,805,57.3170731707317,50.89453860640302
MaxParadigmEntropyCount,187,142,45,75.93582887700535,6.685499058380414
MaxParadigmGiniCount,1886,1081,805,57.3170731707317,50.89453860640302
SumParadigmEntropyCount,187,142,45,75.93582887700535,6.685499058380414
SumParadigmGiniCount,1886,1081,805,57.3170731707317,50.89453860640302
AvrParadigmEntropyFraction,42,33,9,78.57142857142857,1.5536723163841808
AvrParadigmGiniFraction,2176,1264,912,58.08823529411765,59.51035781544256
MaxParadigmEntropyFraction,42,33,9,78.57142857142857,1.5536723163841808
MaxParadigmGiniFraction,2176,1264,912,58.08823529411765,59.51035781544256
SumParadigmEntropyFraction,42,33,9,78.57142857142857,1.5536723163841808
SumParadigmGiniFraction,2176,1264,912,58.08823529411765,59.51035781544256
