name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
Switch count,537,180,357,33.5195530726257,59.60264900662252
Max stretch,1551,276,1275,17.79497098646035,91.3907284768212
Min stretch,1551,276,1275,17.79497098646035,91.3907284768212
Average stretch,1551,276,1275,17.79497098646035,91.3907284768212
AvrParadigmEntropyBool,393,139,254,35.36895674300254,46.026490066225165
AvrParadigmGiniBool,1105,229,876,20.72398190045249,75.82781456953643
MaxParadigmEntropyBool,393,139,254,35.36895674300254,46.026490066225165
MaxParadigmGiniBool,1105,229,876,20.72398190045249,75.82781456953643
SumParadigmEntropyBool,393,139,254,35.36895674300254,46.026490066225165
SumParadigmGiniBool,1105,229,876,20.72398190045249,75.82781456953643
AvrParadigmEntropyCount,392,138,254,35.204081632653065,45.6953642384106
AvrParadigmGiniCount,1105,229,876,20.72398190045249,75.82781456953643
MaxParadigmEntropyCount,392,138,254,35.204081632653065,45.6953642384106
MaxParadigmGiniCount,1105,229,876,20.72398190045249,75.82781456953643
SumParadigmEntropyCount,392,138,254,35.204081632653065,45.6953642384106
SumParadigmGiniCount,1105,229,876,20.72398190045249,75.82781456953643
AvrParadigmEntropyFraction,65,25,40,38.46153846153847,8.27814569536424
AvrParadigmGiniFraction,1286,245,1041,19.05132192846034,81.12582781456953
MaxParadigmEntropyFraction,65,25,40,38.46153846153847,8.27814569536424
MaxParadigmGiniFraction,1286,245,1041,19.05132192846034,81.12582781456953
SumParadigmEntropyFraction,65,25,40,38.46153846153847,8.27814569536424
SumParadigmGiniFraction,1286,245,1041,19.05132192846034,81.12582781456953
