name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
Switch count,994,579,415,58.24949698189135,55.195424213536704
Max stretch,2686,899,1787,33.46984363365599,85.70066730219257
Min stretch,2686,899,1787,33.46984363365599,85.70066730219257
Average stretch,2686,899,1787,33.46984363365599,85.70066730219257
AvrParadigmEntropyBool,585,407,178,69.57264957264957,38.79885605338417
AvrParadigmGiniBool,1558,721,837,46.277278562259305,68.73212583412774
MaxParadigmEntropyBool,585,407,178,69.57264957264957,38.79885605338417
MaxParadigmGiniBool,1558,721,837,46.277278562259305,68.73212583412774
SumParadigmEntropyBool,585,407,178,69.57264957264957,38.79885605338417
SumParadigmGiniBool,1558,721,837,46.277278562259305,68.73212583412774
AvrParadigmEntropyCount,585,407,178,69.57264957264957,38.79885605338417
AvrParadigmGiniCount,1558,721,837,46.277278562259305,68.73212583412774
MaxParadigmEntropyCount,585,407,178,69.57264957264957,38.79885605338417
MaxParadigmGiniCount,1558,721,837,46.277278562259305,68.73212583412774
SumParadigmEntropyCount,585,407,178,69.57264957264957,38.79885605338417
SumParadigmGiniCount,1558,721,837,46.277278562259305,68.73212583412774
AvrParadigmEntropyFraction,98,61,37,62.244897959183675,5.815061963775023
AvrParadigmGiniFraction,1821,743,1078,40.801757276221856,70.82936129647283
MaxParadigmEntropyFraction,98,61,37,62.244897959183675,5.815061963775023
MaxParadigmGiniFraction,1821,743,1078,40.801757276221856,70.82936129647283
SumParadigmEntropyFraction,98,61,37,62.244897959183675,5.815061963775023
SumParadigmGiniFraction,1821,743,1078,40.801757276221856,70.82936129647283
