name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
Switch count,3318,365,2953,11.000602772754672,61.03678929765886
Max stretch,6514,524,5990,8.044212465459012,87.62541806020067
Min stretch,6514,524,5990,8.044212465459012,87.62541806020067
Average stretch,6514,524,5990,8.044212465459012,87.62541806020067
AvrParadigmEntropyBool,1136,267,869,23.503521126760564,44.64882943143812
AvrParadigmGiniBool,3171,418,2753,13.181961526332387,69.89966555183946
MaxParadigmEntropyBool,1136,267,869,23.503521126760564,44.64882943143812
MaxParadigmGiniBool,3171,418,2753,13.181961526332387,69.89966555183946
SumParadigmEntropyBool,1136,267,869,23.503521126760564,44.64882943143812
SumParadigmGiniBool,3171,418,2753,13.181961526332387,69.89966555183946
AvrParadigmEntropyCount,1045,254,791,24.30622009569378,42.474916387959865
AvrParadigmGiniCount,3112,417,2695,13.39974293059126,69.7324414715719
MaxParadigmEntropyCount,1045,254,791,24.30622009569378,42.474916387959865
MaxParadigmGiniCount,3112,417,2695,13.39974293059126,69.7324414715719
SumParadigmEntropyCount,1045,254,791,24.30622009569378,42.474916387959865
SumParadigmGiniCount,3112,417,2695,13.39974293059126,69.7324414715719
AvrParadigmEntropyFraction,277,41,236,14.801444043321299,6.856187290969899
AvrParadigmGiniFraction,3868,444,3424,11.478800413650465,74.24749163879598
MaxParadigmEntropyFraction,277,41,236,14.801444043321299,6.856187290969899
MaxParadigmGiniFraction,3868,444,3424,11.478800413650465,74.24749163879598
SumParadigmEntropyFraction,277,41,236,14.801444043321299,6.856187290969899
SumParadigmGiniFraction,3868,444,3424,11.478800413650465,74.24749163879598
