name,tn,fp,fn,tp,r2,precision,recall,mcc
Switch count,832,271,56,60,-2.1154297058179887,18.12688821752266,51.724137931034484,0.1791606319867866
Max stretch,928,175,41,75,-1.057898521274268,30.0,64.65517241379311,0.3545764661327166
Min stretch,925,178,41,75,-1.0864804451808547,29.64426877470356,64.65517241379311,0.35104690298599645
Average stretch,924,179,41,75,-1.0960077531497174,29.527559055118108,64.65517241379311,0.34988163916265447
parParadigmEntropyBool,907,196,75,41,-1.5819004595616972,17.29957805907173,35.3448275862069,0.1303121325845698
parParadigmGiniBool,605,498,43,73,-4.154273611154532,12.784588441331,62.93103448275862,0.10456303551905495
parParadigmEntropyCount,907,196,75,41,-1.5819004595616972,17.29957805907173,35.3448275862069,0.1303121325845698
parParadigmGiniCount,589,514,33,83,-4.211437458967707,13.90284757118928,71.55172413793103,0.14646430569497385
parParadigmEntropyFraction,716,387,83,33,-3.477834745365305,7.857142857142857,28.448275862068968,-0.04098701950182902
parParadigmGiniFraction,637,466,40,76,-3.82081783224435,14.022140221402212,65.51724137931035,0.13740333753019973
