name,tn,fp,fn,tp,r2,precision,recall,mcc
Switch count,7072,1004,2300,786,-0.47975502974496664,43.910614525139664,25.4698639014906,0.15891443035022887
Max stretch,6835,1241,1566,1520,-0.2571647604401095,55.05251720391162,49.254698639014904,0.3512737303535804
Min stretch,6837,1239,1569,1517,-0.2576126281851896,55.043541364296075,49.15748541801685,0.3507362145830185
Average stretch,6835,1241,1567,1519,-0.2576126281851896,55.036231884057976,49.22229423201556,0.35098051828015436
parParadigmEntropyBool,7793,283,2937,149,-0.4421341391582303,34.49074074074074,4.828256642903435,0.030701363557792946
parParadigmGiniBool,4710,3366,1133,1953,-1.0149569851158007,36.71742808798646,63.28580686973429,0.19348744159381806
parParadigmEntropyCount,7836,240,2968,118,-0.436759726217268,32.960893854748605,3.823720025923526,0.021626057426959115
parParadigmGiniCount,4713,3363,1137,1949,-1.0154048528608808,36.69051204819277,63.15618924173687,0.19267089458290182
parParadigmEntropyFraction,50,8026,14,3072,-2.6008566704447738,27.680663182555413,99.54633830200908,0.009800947609979427
parParadigmGiniFraction,6126,1950,2146,940,-0.8344662838484818,32.52595155709342,30.460142579390798,0.06447371323243274
