name,tn,fp,fn,tp,r2,precision,recall,mcc
Switch count,4479,898,61,45,-8.225522052347351,4.7720042417815485,42.45283018867924,0.09396179033413181
Max stretch,4762,615,53,53,-5.426119636045913,7.934131736526946,50.0,0.16233066849459127
Min stretch,4765,612,53,53,-5.397259817321156,7.969924812030076,50.0,0.16288107589544557
Average stretch,4764,613,53,53,-5.406879756896075,7.957957957957958,50.0,0.1626972507700619
parParadigmEntropyBool,4541,836,53,53,-7.5521262821030195,5.961754780652419,50.0,0.128704803279167
parParadigmGiniBool,3013,2364,56,50,-22.280253771304057,2.071251035625518,47.16981132075472,0.008889010625692454
parParadigmEntropyCount,4547,830,53,53,-7.494406644653505,6.0022650056625135,50.0,0.1294750872040456
parParadigmGiniCount,2816,2561,37,69,-23.992603015639645,2.623574144486692,65.09433962264151,0.04813671679074212
parParadigmEntropyFraction,4626,751,93,13,-7.119229001231663,1.7015706806282722,12.264150943396226,-0.006770190996266959
parParadigmGiniFraction,3174,2203,43,63,-20.606384285268145,2.7802294792586055,59.43396226415094,0.051626599167757505
