name,tn,fp,fn,tp,r2,precision,recall,mcc
Switch count,7658,1049,1009,377,-0.7212100330281106,26.43758765778401,27.200577200577204,0.1497319927352984
Max stretch,7322,1385,845,541,-0.8650623778681665,28.089304257528557,39.03318903318903,0.2025654578907889
Min stretch,7325,1382,845,541,-0.8625533253418864,28.133125325013005,39.03318903318903,0.20298815342483287
Average stretch,7322,1385,845,541,-0.8650623778681665,28.089304257528557,39.03318903318903,0.2025654578907889
parParadigmEntropyBool,7657,1050,1018,368,-0.7295735414490441,25.952045133991536,26.551226551226552,0.14353911803108257
parParadigmGiniBool,4105,4602,635,751,-3.379969360042865,14.029516159163085,54.18470418470418,0.00917701192732357
parParadigmEntropyCount,7665,1042,1019,367,-0.7237190855543907,26.04684173172463,26.47907647907648,0.14411812157159518
parParadigmGiniCount,3797,4910,512,874,-3.534694265830134,15.110650069156293,63.05916305916306,0.046397337233377196
parParadigmEntropyFraction,8453,254,1328,58,-0.3231070321916769,18.58974358974359,4.184704184704184,0.025205698644944447
parParadigmGiniFraction,4683,4024,685,701,-2.9383761154175767,14.835978835978835,50.57720057720058,0.030084708242692243
