name,tn,fp,fn,tp,r2,precision,recall,mcc
Switch count,3180,741,65,52,-6.094448695060782,6.557377049180328,44.44444444444444,0.10786332087073627
Max stretch,3519,402,40,77,-2.8905041230978483,16.075156576200417,65.8119658119658,0.2882157882389848
Min stretch,3519,402,40,77,-2.8905041230978483,16.075156576200417,65.8119658119658,0.2882157882389848
Average stretch,3519,402,40,77,-2.8905041230978483,16.075156576200417,65.8119658119658,0.2882157882389848
parParadigmEntropyBool,3812,109,107,10,-0.9012418339120707,8.403361344537815,8.547008547008547,0.057198960053511
parParadigmGiniBool,2084,1837,21,96,-15.354200589854756,4.966373512674599,82.05128205128204,0.11819639682857626
parParadigmEntropyCount,3813,108,107,10,-0.8924397883847,8.47457627118644,8.547008547008547,0.05768747650389693
parParadigmGiniCount,2068,1853,18,99,-15.468627181710577,5.07172131147541,84.61538461538461,0.12539108477234373
parParadigmEntropyFraction,17,3904,0,117,-33.36318573885521,2.909723949266352,100.0,0.011231866525667746
parParadigmGiniFraction,2715,1206,47,70,-10.028963045795484,5.4858934169279,59.82905982905983,0.10488734979405274
