name,tn,fp,fn,tp,r2,precision,recall,mcc
Switch count,12611,2785,675,348,-2.606942885724975,11.107564634535589,34.01759530791789,0.09798031137231313
Max stretch,12390,3006,505,518,-2.660108806872944,14.699205448354144,50.635386119257085,0.1831575402862018
Min stretch,12416,2980,508,515,-2.636132018904252,14.735336194563661,50.34213098729228,0.18297492830938095
Average stretch,12394,3002,505,518,-2.655938930704476,14.71590909090909,50.635386119257085,0.18338617916775665
parParadigmEntropyBool,12779,2617,701,322,-2.4589122817443543,10.956107519564478,31.47605083088954,0.091287114485492
parParadigmGiniBool,8245,7151,474,549,-6.9488264461424665,7.129870129870129,53.665689149560116,0.03496339839105549
parParadigmEntropyCount,12885,2511,712,311,-2.359877722743235,11.020552799433027,30.40078201368524,0.09028058139020424
parParadigmGiniCount,7771,7625,398,625,-7.363729124905049,7.575757575757576,61.09481915933529,0.055927444617350684
parParadigmEntropyFraction,15044,352,997,26,-0.4062907378158933,6.878306878306878,2.541544477028348,0.004113605743675253
parParadigmGiniFraction,11165,4231,659,364,-4.097673615952349,7.921653971708379,35.581622678396876,0.04361404967895803
