name,tn,fp,fn,tp,r2,precision,recall,mcc
Switch count,30459,13519,1179,492,-8.130143141316594,3.511526657626151,29.443447037701976,-0.005280573921700245
Max stretch,36894,7084,1158,513,-4.119787710622627,6.752665525865472,30.700179533213646,0.07357236411319641
Min stretch,36983,6995,1160,511,-4.065744816807513,6.807887023714362,30.580490724117293,0.07434756743777365
Average stretch,36908,7070,1158,513,-4.111091152997206,6.765132533298167,30.700179533213646,0.07378732930406284
parParadigmEntropyBool,38547,5431,1388,283,-3.2358447462673734,4.9527476373818695,16.935966487133452,0.026028600202188182
parParadigmGiniBool,15379,28599,624,1047,-17.15282167769049,3.531673750252985,62.65709156193896,-0.00934001447966482
parParadigmEntropyCount,40041,3937,1432,239,-2.335129849348809,5.723180076628352,14.302812687013763,0.03485348684108687
parParadigmGiniCount,12016,31962,468,1203,-19.144954556599345,3.6273179556761646,71.99281867145422,-0.0028834837739408594
parParadigmEntropyFraction,481,43497,9,1662,-26.025174003682118,3.6803295024247658,99.46140035906643,0.010116486638889047
parParadigmGiniFraction,26030,17948,918,753,-10.71923258294182,4.026522645847816,45.062836624775585,0.016235089834607915
