name,tn,fp,fn,tp,r2,precision,recall,mcc
Switch count,527,46,47,54,-0.0830957441293867,54.0,53.46534653465347,0.45624250911980335
Max stretch,526,47,41,60,-0.024864790143935833,56.074766355140184,59.4059405940594,0.5000969488297664
Min stretch,526,47,41,60,-0.024864790143935833,56.074766355140184,59.4059405940594,0.5000969488297664
Average stretch,526,47,41,60,-0.024864790143935833,56.074766355140184,59.4059405940594,0.5000969488297664
AvrParadigmEntropyBool,532,41,62,39,-0.19955765210028864,48.75,38.613861386138616,0.347166910453501
AvrParadigmGiniBool,175,398,38,63,-4.077739187531319,13.665943600867678,62.37623762376238,-0.05437504833649232
MaxParadigmEntropyBool,531,42,60,41,-0.18791146130319825,49.39759036144578,40.5940594059406,0.3613121029823542
MaxParadigmGiniBool,380,193,44,57,-1.7601472189103728,22.8,56.43564356435643,0.16812367992429725
SumParadigmEntropyBool,531,42,60,41,-0.18791146130319825,49.39759036144578,40.5940594059406,0.3613121029823542
SumParadigmGiniBool,399,174,54,47,-1.655331501736561,21.266968325791854,46.53465346534654,0.12292872968487262
AvrParadigmEntropyCount,532,41,62,39,-0.19955765210028864,48.75,38.613861386138616,0.347166910453501
AvrParadigmGiniCount,176,397,37,64,-4.054446805937138,13.882863340563992,63.366336633663366,-0.045434140168940276
MaxParadigmEntropyCount,531,42,60,41,-0.18791146130319825,49.39759036144578,40.5940594059406,0.3613121029823542
MaxParadigmGiniCount,384,189,50,51,-1.7834396005045532,21.25,50.495049504950494,0.13052461367557155
SumParadigmEntropyCount,532,41,61,40,-0.18791146130319825,49.382716049382715,39.603960396039604,0.3561759636234936
SumParadigmGiniCount,399,174,57,44,-1.6902700741278314,20.18348623853211,43.56435643564357,0.10070035185782855
AvrParadigmEntropyFraction,554,19,91,10,-0.28108098767991985,34.48275862068966,9.900990099009901,0.11583027692004869
AvrParadigmGiniFraction,367,206,51,50,-1.9930710348521763,19.53125,49.504950495049506,0.09967619787650851
MaxParadigmEntropyFraction,554,19,91,10,-0.28108098767991985,34.48275862068966,9.900990099009901,0.11583027692004869
MaxParadigmGiniFraction,360,213,42,59,-1.969778653257996,21.691176470588236,58.415841584158414,0.1545459869504624
SumParadigmEntropyFraction,554,19,91,10,-0.28108098767991985,34.48275862068966,9.900990099009901,0.11583027692004869
SumParadigmGiniFraction,489,84,59,42,-0.6654052839838958,33.33333333333333,41.584158415841586,0.24649587181586194
