name,tn,fp,fn,tp,r2,precision,recall,mcc
Switch count,1898,195,162,140,-0.3526877671709234,41.7910447761194,46.35761589403973,0.35449732776309123
Max stretch,1889,204,116,186,-0.21249323667981934,47.69230769230769,61.58940397350994,0.46610698445200727
Min stretch,1889,204,116,186,-0.21249323667981934,47.69230769230769,61.58940397350994,0.46610698445200727
Average stretch,1889,204,116,186,-0.21249323667981934,47.69230769230769,61.58940397350994,0.46610698445200727
AvrParadigmEntropyBool,1856,237,184,118,-0.5951864145068873,33.23943661971831,39.0728476821192,0.2592461068008047
AvrParadigmGiniBool,1344,749,135,167,-2.3495125663280008,18.231441048034934,55.29801324503312,0.13327828205941392
MaxParadigmEntropyBool,1839,254,163,139,-0.5800302490483895,35.36895674300254,46.026490066225165,0.3037676981309248
MaxParadigmGiniBool,1352,741,112,190,-2.2320522840246433,20.408163265306122,62.913907284768214,0.1873424294741399
SumParadigmEntropyBool,1839,254,163,139,-0.5800302490483895,35.36895674300254,46.026490066225165,0.3037676981309248
SumParadigmGiniBool,1717,376,143,159,-0.9665124682400819,29.719626168224302,52.64900662251656,0.27643207897120214
AvrParadigmEntropyCount,1862,231,184,118,-0.5724521663191406,33.810888252149,39.0728476821192,0.2637785722332782
AvrParadigmGiniCount,1368,725,145,157,-2.2964659872232587,17.800453514739228,51.98675496688742,0.11939077037222941
MaxParadigmEntropyCount,1845,248,164,138,-0.5610850422252673,35.751295336787564,45.6953642384106,0.3055738775240864
MaxParadigmGiniCount,1352,741,112,190,-2.2320522840246433,20.408163265306122,62.913907284768214,0.1873424294741399
SumParadigmEntropyCount,1856,237,166,136,-0.5269836699436474,36.46112600536193,45.033112582781456,0.30860103743065265
SumParadigmGiniCount,1725,368,148,154,-0.9551453441462086,29.50191570881226,50.993377483443716,0.26864137310782227
AvrParadigmEntropyFraction,2053,40,278,24,-0.20491515395057047,37.5,7.9470198675496695,0.12424190449100019
AvrParadigmGiniFraction,1158,935,102,200,-2.9292358951155393,17.62114537444934,66.22516556291392,0.14328524402200846
MaxParadigmEntropyFraction,2053,40,277,25,-0.20112611258594604,38.46153846153847,8.27814569536424,0.13007361408368512
MaxParadigmGiniFraction,1069,1024,61,241,-3.111109880617512,19.051383399209488,79.80132450331125,0.2053191065624932
SumParadigmEntropyFraction,2053,40,277,25,-0.20112611258594604,38.46153846153847,8.27814569536424,0.13007361408368512
SumParadigmGiniFraction,1769,324,138,164,-0.7505371104564891,33.60655737704918,54.3046357615894,0.3199692874245827
