name,tn,fp,fn,tp,r2,precision,recall,mcc
Switch count,1892,192,96,84,-0.7381957773512475,30.434782608695656,46.666666666666664,0.30968211108459237
Max stretch,1899,185,97,83,-0.7019833653230967,30.970149253731343,46.111111111111114,0.311800334390153
Min stretch,1899,185,97,83,-0.7019833653230967,30.970149253731343,46.111111111111114,0.311800334390153
Average stretch,1899,185,97,83,-0.7019833653230967,30.970149253731343,46.111111111111114,0.311800334390153
AvrParadigmEntropyBool,1806,278,117,63,-1.3839837918532738,18.475073313782993,35.0,0.16382573246523402
AvrParadigmGiniBool,1421,663,94,86,-3.5687993175517168,11.481975967957277,47.77777777777778,0.0917864274842034
MaxParadigmEntropyBool,1766,318,97,83,-1.50469183194711,20.698254364089774,46.111111111111114,0.21861992186023396
MaxParadigmGiniBool,1426,658,68,112,-3.38170185540627,14.545454545454545,62.22222222222222,0.1750133610006477
SumParadigmEntropyBool,1789,295,104,76,-1.4081253998720409,20.485175202156334,42.22222222222222,0.20512330475967536
SumParadigmGiniBool,1745,339,90,90,-1.5891874600127958,20.97902097902098,50.0,0.23286061486393103
AvrParadigmEntropyCount,1828,256,127,53,-1.3115589677969717,17.15210355987055,29.444444444444446,0.13522571055822039
AvrParadigmGiniCount,1445,639,95,85,-3.429985071443805,11.740331491712707,47.22222222222222,0.09605427396006894
MaxParadigmEntropyCount,1803,281,107,73,-1.3417359778204307,20.62146892655367,40.55555555555556,0.20164388510487338
MaxParadigmGiniCount,1426,658,68,112,-3.38170185540627,14.545454545454545,62.22222222222222,0.1750133610006477
SumParadigmEntropyCount,1826,258,113,67,-1.2391341437406695,20.615384615384617,37.22222222222222,0.19166565432513746
SumParadigmGiniCount,1755,329,89,91,-1.5227980379611856,21.666666666666668,50.55555555555556,0.24197321906759317
AvrParadigmEntropyFraction,85,1999,12,168,-11.137193431435275,7.752653437932626,93.33333333333333,-0.034572384547761126
AvrParadigmGiniFraction,1327,757,82,98,-4.063702281936447,11.461988304093568,54.44444444444444,0.1011128577359104
MaxParadigmEntropyFraction,1998,86,167,13,-0.5269567071870336,13.131313131313133,7.222222222222221,0.04095202386699847
MaxParadigmGiniFraction,1287,797,50,130,-4.111985497973982,14.023732470334412,72.22222222222221,0.18693181966222053
SumParadigmEntropyFraction,1413,671,123,57,-3.7921091917253147,7.829670329670329,31.666666666666664,-0.0030756925926913063
SumParadigmGiniFraction,1765,319,94,86,-1.4926210279377266,21.23456790123457,47.77777777777778,0.22919716121216338
