name,tn,fp,fn,tp,r2,precision,recall,mcc
Switch count,2207,99,70,54,-0.43619030299639117,35.294117647058826,43.54838709677419,0.35564023360502833
Max stretch,2182,124,55,69,-0.5211719777299055,35.751295336787564,55.64516129032258,0.4090905591227008
Min stretch,2182,124,55,69,-0.5211719777299055,35.751295336787564,55.64516129032258,0.4090905591227008
Average stretch,2182,124,55,69,-0.5211719777299055,35.751295336787564,55.64516129032258,0.4090905591227008
AvrParadigmEntropyBool,2030,276,63,61,-1.8808787734661339,18.100890207715135,49.193548387096776,0.23701343663953506
AvrParadigmGiniBool,1368,938,72,52,-7.583149148084942,5.252525252525253,41.935483870967744,0.005638494528795662
MaxParadigmEntropyBool,2019,287,53,71,-1.8893769409394854,19.832402234636874,57.25806451612904,0.27822814372598703
MaxParadigmGiniBool,1266,1040,31,93,-8.101537363959379,8.20829655781112,75.0,0.13189566401810776
SumParadigmEntropyBool,2223,83,75,49,-0.3427104607895255,37.121212121212125,39.516129032258064,0.348719657299481
SumParadigmGiniBool,2043,263,60,64,-1.7449080938925112,19.571865443425075,51.61290322580645,0.25927346961521724
AvrParadigmEntropyCount,2101,205,73,51,-1.362490557591697,19.921875,41.12903225806452,0.23108657962738177
AvrParadigmGiniCount,1389,917,72,52,-7.4046876311445615,5.366357069143446,41.935483870967744,0.009750890929705752
MaxParadigmEntropyCount,2086,220,59,65,-1.370988725065048,22.807017543859647,52.41935483870967,0.2932576297729406
MaxParadigmGiniCount,1256,1050,31,93,-8.186519038692893,8.136482939632545,75.0,0.12991469064868855
SumParadigmEntropyCount,2107,199,66,58,-1.252014380438128,22.56809338521401,46.774193548387096,0.2729457634569475
SumParadigmGiniCount,2043,263,61,63,-1.7534062613658623,19.32515337423313,50.806451612903224,0.25440211287881676
AvrParadigmEntropyFraction,2278,28,116,8,-0.22373611616260547,22.22222222222222,6.451612903225806,0.09539860275714601
AvrParadigmGiniFraction,1233,1073,56,68,-8.594431077413761,5.959684487291849,54.83870967741935,0.03663224555044679
MaxParadigmEntropyFraction,2278,28,116,8,-0.22373611616260547,22.22222222222222,6.451612903225806,0.09539860275714601
MaxParadigmGiniFraction,1044,1262,22,102,-9.911647035783233,7.47800586510264,82.25806451612904,0.12209021853678823
SumParadigmEntropyFraction,2278,28,116,8,-0.22373611616260547,22.22222222222222,6.451612903225806,0.09539860275714601
SumParadigmGiniFraction,2119,187,59,65,-1.0905491984444513,25.793650793650798,52.41935483870967,0.3198260012342463
