name,tn,fp,fn,tp,r2,precision,recall,mcc
Switch count,18898,951,4880,3796,0.034148142356766664,79.9662945017906,43.75288151221761,0.48124895471269463
Max stretch,18333,1516,2848,5828,0.27714328472730754,79.35729847494554,67.17381281696633,0.6264266980609836
Min stretch,18333,1516,2848,5828,0.27714328472730754,79.35729847494554,67.17381281696633,0.6264266980609836
Average stretch,18333,1516,2848,5828,0.27714328472730754,79.35729847494554,67.17381281696633,0.6264266980609836
AvrParadigmEntropyBool,19649,200,7734,942,-0.31419458729916183,82.48686514886164,10.857538035961273,0.2311472297884741
AvrParadigmGiniBool,14953,4896,4454,4222,-0.5487420457836103,46.304014038166265,48.66297833102812,0.23672955777906973
MaxParadigmEntropyBool,19649,200,7704,972,-0.3092253614838134,82.93515358361775,11.20331950207469,0.23630905374765768
MaxParadigmGiniBool,14814,5035,3752,4924,-0.4554862413155705,49.44271513204137,56.75426463808206,0.30291598903584965
SumParadigmEntropyBool,19649,200,7704,972,-0.3092253614838134,82.93515358361775,11.20331950207469,0.23630905374765768
SumParadigmGiniBool,17544,2305,5023,3653,-0.21381622582912252,61.3125209801947,42.104656523743664,0.3450861756839636
AvrParadigmEntropyCount,19653,196,7864,812,-0.3350653357236255,80.55555555555556,9.359151682803136,0.208598773016585
AvrParadigmGiniCount,14957,4892,4473,4203,-0.5512266586912844,46.21220450797141,48.44398340248963,0.23492545217290298
MaxParadigmEntropyCount,19653,196,7833,843,-0.32993046904776535,81.13570741097209,9.716459197787,0.21435332803466428
MaxParadigmGiniCount,14835,5014,3798,4878,-0.45962726282836086,49.31257581884351,56.22406639004149,0.2992909295487811
SumParadigmEntropyCount,19653,196,7833,843,-0.32993046904776535,81.13570741097209,9.716459197787,0.21435332803466428
SumParadigmGiniCount,17545,2304,5056,3620,-0.2191167333654942,61.10735989196488,41.724296911018904,0.3415580536943201
AvrParadigmEntropyFraction,19802,47,8510,166,-0.4173888433978987,77.93427230046949,1.913324112494237,0.08959153735153076
AvrParadigmGiniFraction,14416,5433,3621,5055,-0.49971235107217193,48.1979405034325,58.26417704011065,0.29475009018734133
MaxParadigmEntropyFraction,19802,47,8510,166,-0.4173888433978987,77.93427230046949,1.913324112494237,0.08959153735153076
MaxParadigmGiniFraction,14270,5579,3125,5551,-0.4417380498931063,49.874213836477985,63.98109727985246,0.33833562947506973
SumParadigmEntropyFraction,19802,47,8510,166,-0.4173888433978987,77.93427230046949,1.913324112494237,0.08959153735153076
SumParadigmGiniFraction,17059,2790,4362,4314,-0.18466343437907806,60.72635135135135,49.72337482710927,0.3794262553704555
