commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,1,package onnx - object ONNXUtils,72.0,1.0,72.0,0.0,0.0,311.0,271.0,30.0,0.09966777408637874,0.0,100.0,68.0,68.0,62.0,202.0,114.0,128.0,19.0,-0.0,13.0
HEAD,0,package onnx - object ONNXUtils - class AugmentedProtocolStringList,1.0,1.0,2.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package onnx - object ONNXUtils - class AugmentedNodeProto,1.0,1.0,2.0,0.0,2.0,8.0,9.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.0
HEAD,0,package vision - trait HasImageUrl,3.0,2.0,5.0,1.0,4.0,8.0,8.0,0.0,0.0,2.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,-0.0,4.0
HEAD,0,package vision - trait HasImageBytes,4.0,1.0,5.0,1.0,4.0,8.0,8.0,0.0,0.0,1.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,-0.0,4.0
HEAD,0,package vision - trait HasImageInput,17.0,10.0,27.0,3.0,1.0,44.0,42.0,0.0,0.0,10.0,12.0,8.0,8.0,6.0,31.0,15.0,5.0,1.0,-0.0,1.0
HEAD,0,package vision - trait HasDetectOrientation,4.0,1.0,5.0,1.0,4.0,8.0,8.0,0.0,0.0,1.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,-0.0,4.0
HEAD,0,package vision - trait HasWidth,4.0,1.0,5.0,1.0,4.0,8.0,8.0,0.0,0.0,1.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,-0.0,4.0
HEAD,0,package vision - trait HasHeight,4.0,1.0,5.0,1.0,4.0,8.0,8.0,0.0,0.0,1.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,-0.0,4.0
HEAD,0,package vision - trait HasSmartCropping,4.0,1.0,5.0,1.0,4.0,8.0,8.0,0.0,0.0,1.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,-0.0,4.0
HEAD,0,package vision - object OCR,8.0,1.0,9.0,1.0,0.0,19.0,18.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,14.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package vision - class OCR,14.0,1.0,15.0,6.0,2.0,9.0,8.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package vision - object RecognizeText,7.0,1.0,8.0,1.0,0.0,14.0,13.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,10.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package vision - trait BasicAsyncReply,35.0,7.0,42.0,1.0,2.0,76.0,72.0,2.0,0.02702702702702703,7.0,43.0,10.0,10.0,6.0,61.0,36.0,9.0,1.0,-0.0,4.0
HEAD,0,package vision - trait HasAsyncReply,8.0,3.0,11.0,0.0,12.0,48.0,36.0,12.0,0.25,3.0,12.0,12.0,12.0,0.0,10.0,10.0,0.0,0.0,-0.0,12.0
HEAD,0,package vision - class RecognizeText,14.0,1.0,15.0,5.0,6.0,22.0,21.0,0.0,0.0,0.0,7.0,6.0,6.0,0.0,4.0,4.0,0.0,0.0,-0.0,5.0
HEAD,0,package vision - object ReadImage,7.0,1.0,8.0,1.0,0.0,14.0,13.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,12.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package vision - class ReadImage,14.0,1.0,15.0,5.0,4.0,23.0,22.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,2.0,2.0,0.0,0.0,-0.0,3.0
HEAD,0,package vision - object GenerateThumbnails,3.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package vision - class GenerateThumbnails,19.0,1.0,20.0,6.0,2.0,12.0,11.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,-0.0,2.0
HEAD,0,package vision - object AnalyzeImage,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package vision - class AnalyzeImage,15.0,1.0,16.0,6.0,19.0,52.0,51.0,0.0,0.0,0.0,20.0,19.0,19.0,0.0,17.0,17.0,0.0,0.0,-0.0,18.0
HEAD,0,package vision - object RecognizeDomainSpecificContent,8.0,1.0,9.0,1.0,0.0,19.0,18.0,0.0,0.0,0.0,2.0,3.0,3.0,6.0,12.0,2.0,4.0,1.0,-0.0,1.0
HEAD,0,package vision - class RecognizeDomainSpecificContent,18.0,1.0,19.0,6.0,5.0,14.0,13.0,0.0,0.0,0.0,11.0,5.0,5.0,0.0,6.0,6.0,0.0,0.0,-0.0,3.0
HEAD,0,package vision - object TagImage,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package vision - class TagImage,13.0,1.0,14.0,6.0,4.0,18.0,17.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,2.0,2.0,0.0,0.0,-0.0,3.0
HEAD,0,package vision - object DescribeImage,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package vision - class DescribeImage,14.0,1.0,15.0,6.0,6.0,23.0,22.0,0.0,0.0,0.0,7.0,6.0,6.0,0.0,4.0,4.0,0.0,0.0,-0.0,5.0
HEAD,0,package param - object ServiceParamJsonProtocol,19.0,0.0,19.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,5.0,6.0,6.0,7.0,13.0,7.0,19.0,4.0,-0.0,1.0
HEAD,0,package param - object ServiceParamJsonProtocol - method eitherFormat - <$anon: <error>>,17.0,0.0,17.0,1.0,2.0,11.0,11.0,0.0,0.0,0.0,4.0,7.0,7.0,11.0,12.0,8.0,19.0,4.0,-0.0,0.0
HEAD,0,package param - class JsonEncodableParam,3.0,5.0,8.0,0.0,2.0,12.0,10.0,0.0,0.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.0
HEAD,0,package param - object ServiceParam,7.0,80.0,87.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package param - class ServiceParam,12.0,80.0,92.0,2.0,3.0,38.0,37.0,0.0,0.0,0.0,7.0,12.0,12.0,20.0,14.0,8.0,28.0,4.0,-0.0,4.0
HEAD,0,package param - class CognitiveServiceStructParam,8.0,1.0,9.0,2.0,2.0,10.0,10.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,-0.0,2.0
HEAD,0,package causal - trait SyntheticDiffInDiffEstimatorParams,4.0,1.0,5.0,2.0,2.0,10.0,10.0,1.0,0.09090909090909091,1.0,3.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,-0.0,2.0
HEAD,0,package causal - class SyntheticDiffInDiffEstimator,20.0,1.0,21.0,3.0,1.0,103.0,96.0,8.0,0.07692307692307693,0.0,4.0,4.0,4.0,3.0,132.0,8.0,32.0,10.0,-0.0,1.0
HEAD,0,package causal - object SyntheticDiffInDiffEstimator,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package params - trait LightGBMExecutionParams,7.0,1.0,8.0,3.0,41.0,124.0,122.0,0.0,0.0,1.0,42.0,41.0,41.0,0.0,41.0,41.0,0.0,0.0,-0.0,41.0
HEAD,0,package params - trait LightGBMDatasetParams,3.0,1.0,4.0,3.0,6.0,19.0,19.0,0.0,0.0,1.0,7.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,-0.0,6.0
HEAD,0,package params - trait LightGBMLearnerParams,5.0,1.0,6.0,3.0,14.0,35.0,35.0,0.0,0.0,1.0,15.0,14.0,14.0,0.0,14.0,14.0,0.0,0.0,-0.0,14.0
HEAD,0,package params - trait LightGBMBinParams,3.0,1.0,4.0,3.0,4.0,10.0,10.0,0.0,0.0,1.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,-0.0,4.0
HEAD,0,package params - trait LightGBMDartParams,5.0,1.0,6.0,3.0,10.0,27.0,27.0,0.0,0.0,1.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,-0.0,10.0
HEAD,0,package params - trait LightGBMSlotParams,3.0,1.0,4.0,3.0,6.0,17.0,17.0,0.0,0.0,1.0,6.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,-0.0,6.0
HEAD,0,package params - trait LightGBMFractionParams,3.0,1.0,4.0,3.0,10.0,22.0,22.0,0.0,0.0,1.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,-0.0,10.0
HEAD,0,package params - trait LightGBMPredictionParams,3.0,4.0,7.0,3.0,6.0,18.0,18.0,0.0,0.0,4.0,7.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,-0.0,6.0
HEAD,0,package params - trait LightGBMModelParams,5.0,4.0,9.0,3.0,6.0,22.0,18.0,4.0,0.18181818181818182,4.0,8.0,7.0,7.0,0.0,6.0,6.0,0.0,0.0,-0.0,7.0
HEAD,0,package params - trait LightGBMObjectiveParams,4.0,1.0,5.0,3.0,4.0,13.0,13.0,0.0,0.0,1.0,5.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,-0.0,4.0
HEAD,0,package params - trait LightGBMSeedParams,4.0,1.0,5.0,3.0,16.0,41.0,41.0,0.0,0.0,1.0,17.0,16.0,16.0,0.0,16.0,16.0,0.0,0.0,-0.0,16.0
HEAD,0,package params - trait LightGBMCategoricalParams,4.0,1.0,5.0,3.0,10.0,31.0,31.0,0.0,0.0,1.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,-0.0,10.0
HEAD,0,package params - trait LightGBMParams,25.0,1.0,26.0,4.0,41.0,144.0,144.0,0.0,0.0,1.0,44.0,42.0,42.0,0.0,42.0,42.0,0.0,0.0,-0.0,41.0
HEAD,0,package vw - class VowpalWabbitMurmurWithPrefix,15.0,1.0,16.0,1.0,1.0,59.0,53.0,9.0,0.14516129032258066,0.0,25.0,10.0,10.0,0.0,69.0,22.0,0.0,0.0,-0.0,2.0
HEAD,0,package policyeval - class CressieRead,20.0,1.0,21.0,1.0,6.0,63.0,60.0,2.0,0.03225806451612903,0.0,41.0,9.0,9.0,5.0,67.0,27.0,6.0,2.0,-0.0,6.0
HEAD,0,package policyeval - class CressieReadBuffer,4.0,1.0,5.0,2.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package policyeval - class CressieReadInput,3.0,2.0,5.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
