commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,0,package connectable - trait Connection,1.0,10.0,11.0,0.0,0.0,10.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package connectable - object ColonLessEq,5.0,2.0,7.0,2.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package connectable - object ColonGreaterEq,5.0,4.0,9.0,2.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package connectable - object ColonLessGreaterEq,12.0,2.0,14.0,2.0,0.0,26.0,23.0,2.0,0.08,0.0,7.0,2.0,2.0,1.0,5.0,3.0,4.0,1.0,-0.0,1.0
HEAD,0,package connectable - object ColonHashEq,5.0,2.0,7.0,2.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package connectable - object Connection,52.0,10.0,60.0,0.0,0.0,170.0,139.0,26.0,0.15757575757575756,4.0,51.0,43.0,28.0,14.0,94.0,27.0,163.0,18.0,-0.0,1.0
HEAD,0,package internal - object RuntimeDeprecatedTransform,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package internal - class RuntimeDeprecatedTransform,22.0,1.0,23.0,0.0,1.0,36.0,28.0,4.0,0.125,0.0,7.0,6.0,6.0,20.0,8.0,7.0,44.0,9.0,-0.0,1.0
HEAD,0,package internal - class chiselRuntimeDeprecated,4.0,0.0,4.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package options - object Dependency,26.0,26.0,51.0,1.0,0.0,22.0,21.0,1.0,0.045454545454545456,0.0,20.0,6.0,2.0,0.0,6.0,6.0,0.0,0.0,-0.0,1.0
HEAD,0,package options - class Dependency,17.0,26.0,43.0,2.0,1.0,25.0,22.0,1.0,0.043478260869565216,0.0,9.0,12.0,3.0,8.0,5.0,3.0,8.0,2.0,-0.0,1.0
HEAD,0,package options - trait TransformLike,3.0,3.0,6.0,1.0,2.0,9.0,4.0,5.0,0.5555555555555556,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
