commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,1,package internal - object BiConnect,65.0,4.0,68.0,0.0,0.0,376.0,268.0,91.0,0.25348189415041783,0.0,79.0,113.0,36.0,14.0,102.0,32.0,170.0,36.0,-0.0,1.0
HEAD,0,package chisel3 - class SpecifiedDirection,0.0,38.0,38.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - object SpecifiedDirection,26.0,38.0,59.0,0.0,0.0,41.0,31.0,13.0,0.29545454545454547,4.0,14.0,12.0,5.0,3.0,6.0,4.0,22.0,2.0,-0.0,1.0
HEAD,0,package chisel3 - object SpecifiedDirection - object Unspecified,4.0,21.0,25.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - object SpecifiedDirection - object Output,4.0,43.0,47.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - object SpecifiedDirection - object Input,4.0,39.0,43.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - object SpecifiedDirection - object Flip,4.0,14.0,18.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - class ActualDirection,0.0,21.0,21.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - object ActualDirection,37.0,21.0,50.0,0.0,0.0,60.0,48.0,14.0,0.22580645161290322,5.0,7.0,15.0,11.0,7.0,23.0,7.0,9.0,1.0,-0.0,1.0
HEAD,0,package chisel3 - object ActualDirection - object Empty,4.0,4.0,8.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - object ActualDirection - object Unspecified,4.0,21.0,25.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - object ActualDirection - object Output,4.0,43.0,47.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - object ActualDirection - object Input,4.0,39.0,43.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - object ActualDirection - class BidirectionalDirection,0.0,4.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - object ActualDirection - object Default,5.0,8.0,13.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - object ActualDirection - object Flipped,5.0,12.0,17.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - object ActualDirection - class Bidirectional,4.0,3.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - object cloneSupertype,23.0,8.0,31.0,0.0,0.0,42.0,38.0,3.0,0.07317073170731707,0.0,19.0,10.0,10.0,8.0,24.0,12.0,56.0,12.0,-0.0,0.0
HEAD,0,package chisel3 - object getRecursiveFields,10.0,8.0,18.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,7.0,4.0,1.0,0.0,3.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - object getMatchedFields,20.0,3.0,21.0,0.0,0.0,35.0,35.0,1.0,0.027777777777777776,0.0,17.0,7.0,7.0,16.0,40.0,17.0,54.0,12.0,-0.0,0.0
HEAD,0,package chisel3 - object chiselTypeOf,7.0,13.0,20.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - object Input,6.0,39.0,45.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - object Output,6.0,43.0,49.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - object Flipped,6.0,12.0,18.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,-0.0,1.0
HEAD,1,package chisel3 - class Data,117.0,117.0,223.0,3.0,22.0,498.0,339.0,158.0,0.317907444668008,3.0,149.0,154.0,18.0,17.0,49.0,20.0,71.0,16.0,-0.0,1.0
HEAD,0,package chisel3 - object Data,64.0,117.0,170.0,0.0,0.0,142.0,87.0,53.0,0.37857142857142856,3.0,61.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - object Data - class ProbeInfo,3.0,5.0,8.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - object Data - class ConnectableDefault,2.0,2.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - object Data - class ConnectableVecDefault,2.0,1.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - object Data - <$anon: chisel3.reflect.DataMirror.HasMatchingZipOfChildren[chisel3.Data]>,32.0,0.0,32.0,1.0,1.0,46.0,33.0,13.0,0.2826086956521739,0.0,37.0,13.0,8.0,12.0,34.0,18.0,49.0,10.0,-0.0,1.0
HEAD,0,package chisel3 - object Data - <$anon: chisel3.reflect.DataMirror.HasMatchingZipOfChildren[chisel3.Data]> - class VecOptOps,5.0,2.0,7.0,0.0,1.0,5.0,5.0,1.0,0.16666666666666666,0.0,8.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - object Data - <$anon: chisel3.reflect.DataMirror.HasMatchingZipOfChildren[chisel3.Data]> - class RecordOptGet,11.0,2.0,13.0,0.0,1.0,5.0,5.0,1.0,0.16666666666666666,0.0,8.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - object Data - class DataEquality,33.0,1.0,34.0,0.0,1.0,57.0,45.0,10.0,0.18181818181818182,0.0,23.0,18.0,18.0,23.0,48.0,19.0,120.0,25.0,-0.0,1.0
HEAD,0,package chisel3 - trait WireFactory,19.0,1.0,20.0,0.0,1.0,15.0,12.0,5.0,0.29411764705882354,1.0,14.0,2.0,2.0,0.0,6.0,6.0,0.0,0.0,-0.0,0.0
HEAD,0,package chisel3 - object Wire,2.0,21.0,23.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - trait WireDefaultImpl,18.0,2.0,20.0,0.0,1.0,44.0,30.0,13.0,0.3023255813953488,2.0,14.0,6.0,3.0,4.0,5.0,4.0,5.0,1.0,-0.0,0.0
HEAD,0,package chisel3 - object WireDefault,2.0,9.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - object WireInit,2.0,3.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - object DontCare,35.0,28.0,62.0,5.0,0.0,29.0,20.0,8.0,0.2857142857142857,0.0,18.0,7.0,1.0,0.0,3.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class AliasedAggregateFieldException,3.0,1.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package chisel3 - class Aggregate,50.0,19.0,67.0,4.0,3.0,101.0,72.0,29.0,0.2871287128712871,2.0,60.0,24.0,10.0,13.0,30.0,16.0,53.0,4.0,-0.0,1.0
HEAD,0,package chisel3 - trait VecFactory,16.0,2.0,18.0,1.0,2.0,23.0,17.0,5.0,0.22727272727272727,1.0,17.0,5.0,4.0,0.0,13.0,10.0,0.0,0.0,-0.0,0.0
HEAD,1,package chisel3 - class Vec,110.0,48.0,154.0,8.0,9.0,392.0,262.0,121.0,0.31592689295039167,0.0,140.0,82.0,36.0,16.0,92.0,36.0,107.0,25.0,-0.0,1.0
HEAD,0,package chisel3 - object VecInit,48.0,3.0,51.0,1.0,0.0,219.0,108.0,100.0,0.4807692307692308,0.0,58.0,38.0,10.0,14.0,35.0,14.0,39.0,12.0,-0.0,1.0
HEAD,0,package chisel3 - trait VecLike,21.0,6.0,27.0,7.0,16.0,65.0,28.0,37.0,0.5692307692307692,1.0,39.0,19.0,1.0,0.0,6.0,6.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class Record,115.0,32.0,144.0,5.0,8.0,340.0,234.0,97.0,0.2930513595166163,5.0,144.0,72.0,27.0,17.0,91.0,43.0,72.0,19.0,-0.0,1.0
HEAD,0,package chisel3 - trait IgnoreSeqInBundle,2.0,0.0,2.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
