commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,0,package cookie - class CookieKey,3.0,4.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package cookie - class StoredCookie,4.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package cookie - object CookieJar,23.0,2.0,24.0,1.0,0.0,34.0,28.0,7.0,0.2,0.0,27.0,12.0,4.0,9.0,10.0,8.0,5.0,1.0,-0.0,1.0
HEAD,1,package cookie - class CookieJar,28.0,2.0,30.0,2.0,1.0,62.0,46.0,8.0,0.14814814814814814,0.0,34.0,12.0,6.0,7.0,23.0,16.0,18.0,6.0,-0.0,1.0
HEAD,2,package protocol - object HttpProtocol,50.0,34.0,80.0,1.0,0.0,76.0,76.0,0.0,0.0,0.0,17.0,1.0,1.0,0.0,8.0,8.0,0.0,0.0,-0.0,1.0
HEAD,0,package protocol - object HttpProtocol - <$anon: io.gatling.core.protocol.ProtocolKey[io.gatling.http.protocol.HttpProtocol io.gatling.http.protocol.HttpComponents]>,17.0,0.0,17.0,1.0,3.0,20.0,20.0,0.0,0.0,0.0,9.0,3.0,1.0,0.0,8.0,8.0,0.0,0.0,-0.0,1.0
HEAD,0,package protocol - class HttpProtocol,13.0,34.0,46.0,2.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,2,package protocol - class HttpProtocolEnginePart,7.0,2.0,9.0,2.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package protocol - class HttpProtocolRequestPart,5.0,2.0,7.0,2.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package protocol - class HttpProtocolResponsePart,8.0,2.0,10.0,2.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package protocol - class HttpProtocolWsPart,5.0,2.0,7.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package protocol - class HttpProtocolSsePart,3.0,2.0,5.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package protocol - class HttpProtocolProxyPart,4.0,2.0,6.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package protocol - class HttpProtocolDnsPart,5.0,3.0,8.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,2,package cache - object LocalAddressSupport,20.0,2.0,22.0,0.0,0.0,49.0,49.0,0.0,0.0,0.0,11.0,15.0,13.0,14.0,34.0,5.0,53.0,5.0,-0.0,1.0
HEAD,0,package protocol - object HttpProtocolBuilder,8.0,6.0,13.0,1.0,0.0,5.0,6.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,2,package protocol - class HttpProtocolBuilder,68.0,6.0,74.0,2.0,45.0,189.0,179.0,7.0,0.03763440860215054,0.0,126.0,94.0,6.0,13.0,12.0,10.0,23.0,5.0,-0.0,1.0
HEAD,2,package response - object FollowUpProcessor,36.0,1.0,37.0,0.0,0.0,93.0,91.0,2.0,0.021505376344086023,0.0,37.0,10.0,8.0,0.0,52.0,27.0,0.0,0.0,-0.0,1.0
HEAD,2,package util - object InetAddresses,24.0,1.0,25.0,0.0,0.0,66.0,64.0,0.0,0.0,0.0,20.0,14.0,10.0,6.0,19.0,11.0,10.0,1.0,-0.0,1.0
HEAD,0,package builder - object RequestExpressionBuilder,12.0,3.0,15.0,0.0,0.0,8.0,9.0,0.0,0.0,2.0,10.0,2.0,2.0,12.0,11.0,8.0,10.0,3.0,-0.0,1.0
HEAD,2,package builder - class RequestExpressionBuilder,78.0,3.0,81.0,0.0,11.0,163.0,158.0,3.0,0.018633540372670808,2.0,80.0,39.0,5.0,15.0,26.0,19.0,16.0,5.0,-0.0,1.0
HEAD,0,package cache - object PermanentRedirectCacheKey,9.0,2.0,10.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,-0.0,1.0
HEAD,0,package cache - class PermanentRedirectCacheKey,4.0,2.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package cache - object PermanentRedirectCacheSupport,3.0,3.0,6.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,2,package cache - trait PermanentRedirectCacheSupport,46.0,3.0,49.0,0.0,2.0,73.0,70.0,0.0,0.0,1.0,56.0,14.0,5.0,8.0,36.0,35.0,9.0,2.0,-0.0,1.0
HEAD,1,package <empty> - object Dependencies,10.0,0.0,10.0,0.0,0.0,185.0,179.0,6.0,0.032432432432432434,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - object Controller,31.0,6.0,36.0,0.0,0.0,25.0,24.0,2.0,0.07692307692307693,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package controller - object Controller - object Data,8.0,2.0,10.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - object Controller - object Data - class Init,5.0,4.0,9.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - object Controller - object Data - class End,4.0,3.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - object Controller - trait Command,0.0,15.0,15.0,0.0,0.0,1.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
