commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,0,package client - trait EmberClientBuilderPlatform,2.0,1.0,3.0,0.0,1.0,4.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package client - trait EmberClientBuilderCompanionPlatform,1.0,1.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package parsing - class Cookies,1.0,2.0,3.0,0.0,1.0,10.0,7.0,4.0,0.36363636363636365,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package parsing - object Rfc6265,2.0,0.0,2.0,1.0,0.0,15.0,3.0,5.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package parsing - object RelaxedCookies,2.0,1.0,3.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package headers - class Cross-Origin-Resource-Policy,3.0,4.0,7.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package headers - object Cross-Origin-Resource-Policy,18.0,4.0,18.0,1.0,0.0,19.0,19.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package http4s - package headers - object Cross-Origin-Resource-Policy - object SameSite,4.0,1.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package headers - object Cross-Origin-Resource-Policy - object SameOrigin,4.0,1.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package headers - object Cross-Origin-Resource-Policy - object CrossOrigin,4.0,1.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package bench - class NioCharsetBench,35.0,0.0,35.0,0.0,4.0,40.0,34.0,0.0,0.0,0.0,30.0,12.0,1.5,2.0,2.375,2.125,1.125,0.25,-0.0,1.0
HEAD,0,package core - trait UtilPlatform,3.0,1.0,4.0,0.0,2.0,18.0,16.0,1.0,0.058823529411764705,1.0,2.0,6.0,3.0,1.5,2.0,1.5,6.0,1.5,-0.0,0.5
HEAD,0,package internal - object StreamForking,7.0,0.0,7.0,0.0,0.0,56.0,43.0,13.0,0.23214285714285715,0.0,4.0,3.0,3.0,3.0,46.0,2.0,7.0,1.0,-0.0,0.0
HEAD,0,package http4s - class Charset,10.0,19.0,28.0,2.0,2.0,5.0,5.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.6666666666666666
HEAD,0,package http4s - trait CharsetCompanionPlatform,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object Charset,22.0,19.0,39.0,1.0,0.0,36.0,32.0,4.0,0.1111111111111111,0.0,13.0,6.0,1.5,2.0,2.0,2.0,1.25,0.25,-0.0,1.0
HEAD,0,package http4s - object Charset - <$anon: <error> with <error>>,3.0,0.0,3.0,1.0,2.0,7.0,6.0,1.0,0.14285714285714285,0.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package http4s - package headers - object Referer,12.0,2.0,13.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
