commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,0,package zio - class CustomExecutorBenchmark - method defaultExecutor,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package zio - class CustomExecutorBenchmark - method customExecutor,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package zio - class CustomExecutorBenchmark - method defaultExecutorInitBoth,1.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - class CustomExecutorBenchmark - method customExecutorInitBoth,1.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - class CustomExecutorBenchmark - method zioFib,2.0,0.0,9.0,8.0,0.0,0.0,16.0,10.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - class CustomExecutorBenchmark - method zioFib - method fib,2.0,0.0,4.0,3.0,0.0,0.0,11.0,7.0,0.0,0.0,-0.0,0.0
HEAD,0,package zio - trait RuntimePlatformSpecific - method enableLoomBasedExecutor,3.0,8.0,7.0,7.0,0.0,0.0,9.0,7.0,6.0,1.0,-0.0,1.0
HEAD,0,package zio - trait RuntimePlatformSpecific - method enableAutoBlockingExecutor,1.0,0.0,4.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - object IsReloadableMacros - method derive,1.0,0.0,135.0,3.0,2.0,0.4,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method +:,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method :+,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method ++,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method append,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method appended,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method asBitsInt,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method asBitsLong,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method asBits,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method equals,3.0,4.0,5.0,5.0,0.0,0.0,1.0,1.0,5.0,1.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method flatMap,1.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method flatten,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method groupBy,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method groupMap,2.0,8.0,13.0,13.0,0.0,0.0,12.0,10.0,6.0,2.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method hashCode,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method map,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method mapAccum,2.0,6.0,2.0,2.0,0.0,0.0,5.0,4.0,6.0,2.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method mapAccumZIO,2.0,6.0,4.0,4.0,0.0,0.0,8.0,5.0,6.0,2.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method mapZIO,1.0,0.0,2.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method mapZIOPar,1.0,0.0,2.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method materialize,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method prepend,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method prepended,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method reduceMapLeft,3.0,0.0,9.0,9.0,0.0,0.0,5.0,5.0,0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method reduceMapRight,3.0,0.0,9.0,9.0,0.0,0.0,5.0,5.0,0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method toChunk,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method toCons,1.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method toString,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method zip,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method zipAll,1.0,0.0,2.0,2.0,0.0,0.0,10.0,3.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method zipAllWith,1.0,0.0,4.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method zipWith,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package zio - class NonEmptyChunk - method zipWithIndex,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - class NonEmptyChunk - method zipWithIndexFrom,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method apply,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method fromChunk,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method fromCons,2.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,6.0,2.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk - method fromIterable,2.0,0.0,10.0,9.0,0.0,0.0,7.0,7.0,0.0,0.0,-0.0,1.0
