commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,0,package zio - class CustomExecutorBenchmark,17.0,0.0,17.0,0.0,2.0,36.0,30.0,0.0,0.0,0.0,20.0,6.0,2.0,0.0,16.0,10.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - trait RuntimePlatformSpecific,35.0,1.0,36.0,0.0,2.0,31.0,31.0,0.0,0.0,1.0,17.0,4.0,3.0,8.0,9.0,7.0,6.0,1.0,-0.0,1.0
HEAD,0,package stacktracer - class SourceLocation,4.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package stacktracer - object SourceLocation,2.0,1.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object IsReloadableMacros,3.0,0.0,3.0,0.0,0.0,138.0,4.0,2.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,1,package zio - class NonEmptyChunk,70.0,9.0,78.0,1.0,8.0,218.0,100.0,118.0,0.5412844036697247,0.0,78.0,42.0,3.0,8.0,12.0,10.0,6.0,2.0,-0.0,1.0
HEAD,0,package zio - object NonEmptyChunk,25.0,9.0,32.0,1.0,0.0,69.0,33.0,35.0,0.5147058823529411,0.0,21.0,15.0,3.0,5.0,7.0,7.0,6.0,2.0,-0.0,1.0
HEAD,4,package stream - class ZSink,227.0,28.0,253.0,0.0,13.0,584.0,398.0,183.0,0.31497418244406195,0.0,153.0,84.0,9.0,20.0,68.0,24.0,32.0,8.0,-0.0,1.0
HEAD,10,package stream - object ZSink,283.0,28.0,298.0,1.0,0.0,1051.0,666.0,369.0,0.3565217391304348,0.0,244.0,145.0,8.0,11.0,63.0,28.0,32.0,8.0,-0.0,1.0
HEAD,1,package stream - object ZSink - class EnvironmentWithPartiallyApplied,7.0,5.0,12.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - class EnvironmentWithZIOPartiallyApplied,9.0,5.0,14.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - class EnvironmentWithSinkPartiallyApplied,16.0,1.0,17.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - class ServiceAtPartiallyApplied,12.0,5.0,17.0,0.0,1.0,9.0,8.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - class ServiceWithPartiallyApplied,12.0,5.0,17.0,0.0,1.0,7.0,7.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - class ServiceWithZIOPartiallyApplied,14.0,5.0,19.0,0.0,1.0,7.0,7.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - class ServiceWithSinkPartiallyApplied,16.0,1.0,17.0,0.0,1.0,7.0,7.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - class UnwrapScopedPartiallyApplied,14.0,7.0,20.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,5.0,3.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - class ProvideSomeLayer,13.0,8.0,19.0,0.0,1.0,16.0,15.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,-0.0,0.0
HEAD,0,package stm - trait TEnqueue,10.0,2.0,12.0,1.0,6.0,43.0,14.0,29.0,0.6744186046511628,2.0,12.0,10.0,2.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - trait System,18.0,13.0,30.0,1.0,9.0,59.0,59.0,0.0,0.0,1.0,31.0,10.0,1.0,0.0,52.0,12.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - trait System - trait UnsafeAPI,5.0,45.0,50.0,0.0,9.0,11.0,12.0,0.0,0.0,2.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
HEAD,0,package zio - trait System - method unsafe - <$anon: System.this.UnsafeAPI>,17.0,0.0,17.0,1.0,9.0,32.0,32.0,0.0,0.0,0.0,21.0,9.0,1.0,0.0,6.0,3.0,0.0,0.0,-0.0,0.0
HEAD,0,package zio - object System,51.0,13.0,60.0,1.0,0.0,141.0,108.0,31.0,0.22302158273381295,1.0,81.0,13.0,1.0,0.0,4.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - object System - object SystemLive,28.0,2.0,30.0,2.0,0.0,49.0,47.0,0.0,0.0,0.0,46.0,9.0,1.0,0.0,5.0,3.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - object System - object SystemLive - <$anon: zio.System.SystemLive.UnsafeAPI>,18.0,0.0,18.0,1.0,5.0,24.0,22.0,0.0,0.0,0.0,24.0,9.0,1.0,0.0,4.0,3.0,0.0,0.0,-0.0,0.0
HEAD,0,package zio - object System - trait OS,8.0,7.0,15.0,0.0,5.0,7.0,8.0,0.0,0.0,5.0,6.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package zio - object System - object OS,14.0,7.0,15.0,0.0,0.0,7.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object System - object OS - object Windows,4.0,3.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object System - object OS - object Mac,4.0,3.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object System - object OS - object Unix,4.0,3.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object System - object OS - object Solaris,4.0,3.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object System - object OS - object Unknown,4.0,3.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package stream - object ZStreamSpec,80.0,0.0,80.0,0.0,0.0,4022.0,4008.0,10.0,0.0024888003982080635,0.0,96.0,347.0,342.0,65.0,6754.0,79.0,876.0,182.0,-0.0,1.0
HEAD,0,package stream - object ZStreamSpec - method spec - trait R,0.0,83.0,83.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package stream - object ZStreamSpec - method spec - trait R1,1.0,26.0,27.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package stream - object ZStreamSpec - method spec - trait E1,0.0,24.0,24.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package stream - object ZStreamSpec - method spec - trait E,1.0,79.0,80.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package stream - object ZStreamSpec - method spec - trait A,0.0,102.0,102.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package stream - object ZStreamSpec - method spec - trait O,0.0,15.0,15.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package stream - object ZStreamSpec - method spec - <$anon: O>,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package stream - object ZStreamSpec - method spec - <$anon: A>,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package stream - object ZStreamSpec - method spec - <$anon: R1>,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package stream - object ZStreamSpec - method spec - trait R,0.0,83.0,83.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package stream - object ZStreamSpec - method spec - trait R1,1.0,26.0,27.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package stream - object ZStreamSpec - method spec - trait E1,0.0,24.0,24.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package stream - object ZStreamSpec - method spec - trait E,1.0,79.0,80.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package stream - object ZStreamSpec - method spec - trait O,0.0,15.0,15.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package stream - object ZStreamSpec - method spec - <$anon: O>,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package stream - object ZStreamSpec - method spec - <$anon: R1>,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package stream - object ZStreamSpec - trait ChunkCoordination,2.0,2.0,4.0,0.0,4.0,6.0,7.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package stream - object ZStreamSpec - method assertWithChunkCoordination - <$anon: zio.stream.ZStreamSpec.ChunkCoordination[A]>,1.0,0.0,1.0,1.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package stream - object ZStreamSpec - trait Animal,0.0,6.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package stream - object ZStreamSpec - class Dog,4.0,2.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package stream - object ZStreamSpec - class Cat,4.0,2.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package zio - class StreamBenchmarks,46.0,0.0,46.0,0.0,22.0,215.0,191.0,0.0,0.0,0.0,42.0,26.0,2.0,6.0,31.0,13.0,7.0,2.0,-0.0,1.0
HEAD,1,package zio - class CSVStreamBenchmarks,21.0,0.0,21.0,0.0,2.0,93.0,86.0,0.0,0.0,0.0,12.0,20.0,6.0,10.0,26.0,6.0,11.0,2.0,-0.0,1.0
HEAD,0,package zio - object CSV,27.0,1.0,28.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,28.0,7.0,4.0,10.0,22.0,14.0,1.0,0.0,-0.0,1.0
HEAD,0,package zio - object CSV - trait Token,0.0,5.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object CSV - object NewCol,4.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object CSV - object NewRow,4.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object CSV - class Column,4.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package jvm - class MemoryPools,3.0,2.0,5.0,2.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package jvm - object MemoryPools,39.0,2.0,41.0,1.0,0.0,145.0,144.0,0.0,0.0,0.0,16.0,4.0,3.0,0.0,15.0,6.0,0.0,0.0,-0.0,1.0
HEAD,0,package jvm - object MemoryPools - trait Area,1.0,3.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
