commit,faults,path,SwitchCount,MaxStretch,MaxStretchNormalized,MinStretch,MinStretchNormalized,AvgStretch,AvgStretchNormalized
HEAD,1,package onnx - object ONNXUtils,36.0,77.0,0.22063037249283668,2.0,0.0057306590257879654,13.486486486486486,0.038643227754975605
HEAD,0,package onnx - object ONNXUtils - class AugmentedProtocolStringList,0.0,5.0,1.0,5.0,1.0,5.0,1.0
HEAD,0,package onnx - object ONNXUtils - class AugmentedNodeProto,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package vision - trait HasImageUrl,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package vision - trait HasImageBytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package vision - trait HasImageInput,3.0,19.0,0.38,14.0,0.28,16.5,0.33
HEAD,0,package vision - trait HasDetectOrientation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package vision - trait HasWidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package vision - trait HasHeight,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package vision - trait HasSmartCropping,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package vision - object OCR,0.0,20.0,1.0,20.0,1.0,20.0,1.0
HEAD,0,package vision - class OCR,0.0,12.0,1.0,12.0,1.0,12.0,1.0
HEAD,0,package vision - object RecognizeText,0.0,14.0,1.0,14.0,1.0,14.0,1.0
HEAD,0,package vision - trait BasicAsyncReply,4.0,45.0,0.5555555555555556,5.0,0.06172839506172839,19.2,0.23703703703703702
HEAD,0,package vision - trait HasAsyncReply,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package vision - class RecognizeText,1.0,24.0,0.8,15.0,0.5,19.5,0.65
HEAD,0,package vision - object ReadImage,0.0,14.0,1.0,14.0,1.0,14.0,1.0
HEAD,0,package vision - class ReadImage,1.0,23.0,0.7931034482758621,18.0,0.6206896551724138,20.5,0.7068965517241379
