commit,faults,path,SwitchCount,MaxStretch,MaxStretchNormalized,MinStretch,MinStretchNormalized,AvgStretch,AvgStretchNormalized
HEAD,0,package internal - object JournalInteractions,0.0,10.0,1.0,10.0,1.0,10.0,1.0
HEAD,0,package internal - object JournalInteractions - class EventToPersist,0.0,4.0,1.0,4.0,1.0,4.0,1.0
HEAD,1,package internal - trait JournalInteractions,8.0,42.0,0.29577464788732394,5.0,0.035211267605633804,20.88888888888889,0.14710485133020346
HEAD,3,package internal - trait SnapshotInteractions,2.0,23.0,0.5609756097560976,8.0,0.1951219512195122,16.666666666666668,0.40650406504065045
HEAD,0,package singleton - object ClusterSingletonManagerPreparingForShutdownSpec,2.0,21.0,0.5833333333333334,11.0,0.3055555555555556,15.666666666666666,0.4351851851851852
HEAD,0,package singleton - object ClusterSingletonManagerPreparingForShutdownSpec - object EchoStarted,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package singleton - object ClusterSingletonManagerPreparingForShutdownSpec - class Echo,1.0,11.0,0.6470588235294118,10.0,0.5882352941176471,10.5,0.6176470588235294
HEAD,0,package singleton - class ClusterSingletonManagerPreparingForShutdownMultiJvmNode1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package singleton - class ClusterSingletonManagerPreparingForShutdownMultiJvmNode2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package singleton - class ClusterSingletonManagerPreparingForShutdownMultiJvmNode3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package singleton - class ClusterSingletonManagerPreparingForShutdownSpec,0.0,101.0,1.0,101.0,1.0,101.0,1.0
HEAD,0,package pf - object CaseStatement,0.0,3.0,1.0,3.0,1.0,3.0,1.0
HEAD,0,package pf - class CaseStatement,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package pf - class UnitCaseStatement,0.0,6.0,1.0,6.0,1.0,6.0,1.0
HEAD,0,package impl - object EmptySource,0.0,16.0,1.0,16.0,1.0,16.0,1.0
HEAD,0,package impl - object EmptySource - method createLogic - <$anon: akka.stream.stage.GraphStageLogic with akka.stream.stage.OutHandler>,0.0,6.0,1.0,6.0,1.0,6.0,1.0
HEAD,0,package routing - trait Resizer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package routing - object Resizer,0.0,13.0,1.0,13.0,1.0,13.0,1.0
HEAD,0,package routing - class ResizerInitializationException,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package routing - object DefaultResizer,0.0,21.0,1.0,21.0,1.0,21.0,1.0
