commit,faults,path,SwitchCount,MaxStretch,MaxStretchNormalized,MinStretch,MinStretchNormalized,AvgStretch,AvgStretchNormalized
HEAD,0,package cookie - class CookieKey,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package cookie - class StoredCookie,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,1,package cookie - object CookieJar,0.0,41.0,1.0,41.0,1.0,41.0,1.0
HEAD,1,package cookie - class CookieJar,0.0,71.0,1.0,71.0,1.0,71.0,1.0
HEAD,2,package protocol - object HttpProtocol,2.0,60.0,0.7407407407407407,10.0,0.12345679012345678,38.333333333333336,0.4732510288065844
HEAD,0,package protocol - object HttpProtocol - <$anon: io.gatling.core.protocol.ProtocolKey[io.gatling.http.protocol.HttpProtocol io.gatling.http.protocol.HttpComponents]>,1.0,18.0,0.75,9.0,0.375,13.5,0.5625
HEAD,0,package protocol - class HttpProtocol,0.0,13.0,1.0,13.0,1.0,13.0,1.0
HEAD,2,package protocol - class HttpProtocolEnginePart,0.0,9.0,1.0,9.0,1.0,9.0,1.0
HEAD,0,package protocol - class HttpProtocolRequestPart,0.0,11.0,1.0,11.0,1.0,11.0,1.0
HEAD,0,package protocol - class HttpProtocolResponsePart,0.0,11.0,1.0,11.0,1.0,11.0,1.0
HEAD,0,package protocol - class HttpProtocolWsPart,0.0,6.0,1.0,6.0,1.0,6.0,1.0
HEAD,0,package protocol - class HttpProtocolSsePart,0.0,3.0,1.0,3.0,1.0,3.0,1.0
HEAD,0,package protocol - class HttpProtocolProxyPart,0.0,4.0,1.0,4.0,1.0,4.0,1.0
HEAD,0,package protocol - class HttpProtocolDnsPart,0.0,5.0,1.0,5.0,1.0,5.0,1.0
HEAD,2,package cache - object LocalAddressSupport,0.0,53.0,1.0,53.0,1.0,53.0,1.0
HEAD,0,package protocol - object HttpProtocolBuilder,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,2,package protocol - class HttpProtocolBuilder,3.0,100.0,0.49019607843137253,6.0,0.029411764705882353,53.75,0.26348039215686275
HEAD,2,package response - object FollowUpProcessor,2.0,71.0,0.6635514018691588,20.0,0.18691588785046728,42.666666666666664,0.3987538940809969
HEAD,2,package util - object InetAddresses,2.0,45.0,0.6164383561643836,20.0,0.273972602739726,29.333333333333332,0.4018264840182648
HEAD,0,package builder - object RequestExpressionBuilder,0.0,9.0,1.0,9.0,1.0,9.0,1.0
HEAD,2,package builder - class RequestExpressionBuilder,14.0,88.0,0.4656084656084656,2.0,0.010582010582010581,17.866666666666667,0.0945326278659612
HEAD,0,package cache - object PermanentRedirectCacheKey,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package cache - class PermanentRedirectCacheKey,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package cache - object PermanentRedirectCacheSupport,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,2,package cache - trait PermanentRedirectCacheSupport,0.0,83.0,1.0,83.0,1.0,83.0,1.0
HEAD,1,package <empty> - object Dependencies,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - object Controller,0.0,27.0,1.0,27.0,1.0,27.0,1.0
HEAD,0,package controller - object Controller - object Data,0.0,4.0,1.0,4.0,1.0,4.0,1.0
HEAD,0,package controller - object Controller - object Data - class Init,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package controller - object Controller - object Data - class End,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package controller - object Controller - trait Command,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package controller - object Controller - object Command,0.0,11.0,1.0,11.0,1.0,11.0,1.0
HEAD,0,package controller - object Controller - object Command - class Start,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package controller - object Controller - object Command - object RunTerminated,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package controller - object Controller - object Command - class Crash,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package controller - object Controller - object Command - class MaxDurationReached,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package controller - object Controller - object Command - object StopInjector,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package controller - object Controller - object Command - object StatsEngineStopped,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package controller - object Controller - object Command - object Kill,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,1,package controller - class Controller,13.0,22.0,0.2558139534883721,3.0,0.03488372093023256,9.0,0.10465116279069768
HEAD,1,package <empty> - object Dependencies,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package template - object SimulationTemplate,0.0,29.0,1.0,29.0,1.0,29.0,1.0
HEAD,1,package template - class SimulationTemplate,0.0,191.0,1.0,191.0,1.0,191.0,1.0
HEAD,1,package <empty> - object Dependencies,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package <empty> - object Dependencies,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package <empty> - object Dependencies,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package cookie - class CookieKey,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package cookie - class StoredCookie,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package cookie - object CookieJar,0.0,41.0,1.0,41.0,1.0,41.0,1.0
HEAD,1,package cookie - class CookieJar,0.0,71.0,1.0,71.0,1.0,71.0,1.0
HEAD,0,package util - trait TypeCaster,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package util - trait LowPriorityTypeCaster,0.0,21.0,1.0,21.0,1.0,21.0,1.0
HEAD,0,package util - trait LowPriorityTypeCaster - method genericTypeCaster - <$anon: io.gatling.commons.util.TypeCaster[T]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package util - object TypeCaster,0.0,234.0,1.0,234.0,1.0,234.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[Boolean]>,0.0,16.0,1.0,16.0,1.0,16.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[Byte]>,0.0,16.0,1.0,16.0,1.0,16.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[Short]>,0.0,16.0,1.0,16.0,1.0,16.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[Int]>,0.0,16.0,1.0,16.0,1.0,16.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[Long]>,0.0,16.0,1.0,16.0,1.0,16.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[Float]>,0.0,16.0,1.0,16.0,1.0,16.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[Double]>,0.0,16.0,1.0,16.0,1.0,16.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[Char]>,0.0,16.0,1.0,16.0,1.0,16.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[String]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[CharSequence]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[scala.concurrent.duration.FiniteDuration]>,0.0,22.0,1.0,22.0,1.0,22.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[Seq[Any]]>,0.0,15.0,1.0,15.0,1.0,15.0,1.0
HEAD,1,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[Map[String Any]]>,0.0,15.0,1.0,15.0,1.0,15.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[Any]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package util - object TypeHelper,0.0,25.0,1.0,25.0,1.0,25.0,1.0
HEAD,1,package internal - object Expressions,0.0,96.0,1.0,96.0,1.0,96.0,1.0
HEAD,0,package engine - object HttpEngine,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package engine - class HttpEngine,2.0,123.0,0.8092105263157895,20.0,0.13157894736842105,58.333333333333336,0.38377192982456143
HEAD,1,package engine - class HttpEngine - method warmUp - <$anon: io.gatling.http.client.HttpListener>,0.0,10.0,1.0,10.0,1.0,10.0,1.0
HEAD,0,package engine - object GatlingHttpListener,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package engine - class GatlingHttpListener,8.0,88.0,0.4756756756756757,2.0,0.010810810810810811,22.666666666666668,0.12252252252252253
HEAD,0,package sse - class SseInvalidStatusException,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package sse - class SseInvalidContentTypeException,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package sse - class SseListener,2.0,30.0,0.5882352941176471,7.0,0.13725490196078433,19.666666666666668,0.38562091503267976
HEAD,0,package protocol - object HttpProtocolBuilder,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package protocol - class HttpProtocolBuilder,2.0,99.0,0.5351351351351351,6.0,0.032432432432432434,64.0,0.34594594594594597
HEAD,1,package cache - object BaseUrlSupport,3.0,50.0,0.7352941176470589,4.0,0.058823529411764705,20.25,0.2977941176470588
HEAD,1,package cookie - object AddCookieBuilder,0.0,4.0,1.0,4.0,1.0,4.0,1.0
HEAD,1,package cookie - class AddCookieBuilder,1.0,27.0,0.7941176470588235,11.0,0.3235294117647059,19.0,0.5588235294117647
HEAD,0,package cookie - class AddCookieBuilder - method build - <$anon: io.gatling.core.action.SessionHook with io.gatling.core.action.ExitableAction>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package builder - object HttpRequestExpressionBuilder,0.0,12.0,1.0,12.0,1.0,12.0,1.0
HEAD,1,package builder - class HttpRequestExpressionBuilder,9.0,85.0,0.6640625,1.0,0.0078125,16.7,0.13046875
HEAD,0,package engine - object HttpEngine,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package engine - class HttpEngine,2.0,121.0,0.8066666666666666,20.0,0.13333333333333333,58.0,0.38666666666666666
HEAD,1,package engine - class HttpEngine - method warmUp - <$anon: io.gatling.http.client.HttpListener>,0.0,10.0,1.0,10.0,1.0,10.0,1.0
HEAD,0,package protocol - object HttpProtocolBuilder,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package protocol - class HttpProtocolBuilder,0.0,194.0,1.0,194.0,1.0,194.0,1.0
HEAD,1,package builder - object HttpRequestExpressionBuilder,0.0,17.0,1.0,17.0,1.0,17.0,1.0
HEAD,1,package builder - class HttpRequestExpressionBuilder,9.0,87.0,0.6744186046511628,1.0,0.007751937984496124,18.2,0.14108527131782944
HEAD,0,package builder - object CommonAttributes,0.0,16.0,1.0,16.0,1.0,16.0,1.0
HEAD,0,package builder - class CommonAttributes,0.0,13.0,1.0,13.0,1.0,13.0,1.0
