commit,faults,path,SwitchCount,MaxStretch,MaxStretchNormalized,MinStretch,MinStretchNormalized,AvgStretch,AvgStretchNormalized
HEAD,0,package service - trait RepositoryService - method insertRepository,0.0,39.0,1.0,39.0,1.0,39.0,1.0
HEAD,0,package service - trait RepositoryService - method renameRepository,8.0,148.0,0.9192546583850931,3.0,0.018633540372670808,22.0,0.13664596273291926
HEAD,0,package service - trait RepositoryService - method deleteRepository,1.0,13.0,0.9285714285714286,3.0,0.21428571428571427,8.0,0.5714285714285714
HEAD,1,package service - trait RepositoryService - method deleteRepositoryOnModel,4.0,30.0,0.5660377358490566,5.0,0.09433962264150944,13.0,0.24528301886792453
HEAD,0,package service - trait RepositoryService - method getRepositoryNamesOfUser,0.0,2.0,1.0,2.0,1.0,2.0,1.0
HEAD,0,package service - trait RepositoryService - method getRepository,0.0,31.0,1.0,31.0,1.0,31.0,1.0
HEAD,0,package service - trait RepositoryService - method getAllRepositories,0.0,20.0,1.0,20.0,1.0,20.0,1.0
HEAD,0,package service - trait RepositoryService - method getPublicRepositories,0.0,9.0,1.0,9.0,1.0,9.0,1.0
HEAD,0,package service - trait RepositoryService - method getUserRepositories,0.0,19.0,1.0,19.0,1.0,19.0,1.0
HEAD,0,package service - trait RepositoryService - method getVisibleRepositories,0.0,6.0,1.0,6.0,1.0,6.0,1.0
HEAD,0,package service - trait RepositoryService - method getVisibleRepositories,0.0,46.0,1.0,46.0,1.0,46.0,1.0
HEAD,0,package service - trait RepositoryService - method createRepositoryInfo,0.0,25.0,1.0,25.0,1.0,25.0,1.0
HEAD,0,package service - trait RepositoryService - method getRepositoryManagers,0.0,7.0,1.0,7.0,1.0,7.0,1.0
HEAD,0,package service - trait RepositoryService - method updateLastActivityDate,0.0,3.0,1.0,3.0,1.0,3.0,1.0
HEAD,0,package service - trait RepositoryService - method saveRepositoryOptions,0.0,46.0,1.0,46.0,1.0,46.0,1.0
HEAD,0,package service - trait RepositoryService - method saveRepositoryDefaultBranch,0.0,9.0,1.0,9.0,1.0,9.0,1.0
HEAD,0,package service - trait RepositoryService - method addCollaborator,0.0,4.0,1.0,4.0,1.0,4.0,1.0
HEAD,0,package service - trait RepositoryService - method removeCollaborator,0.0,4.0,1.0,4.0,1.0,4.0,1.0
HEAD,0,package service - trait RepositoryService - method removeCollaborators,0.0,2.0,1.0,2.0,1.0,2.0,1.0
HEAD,0,package service - trait RepositoryService - method getCollaborators,0.0,8.0,1.0,8.0,1.0,8.0,1.0
HEAD,0,package service - trait RepositoryService - method getCollaboratorUserNames,0.0,24.0,1.0,24.0,1.0,24.0,1.0
HEAD,0,package service - trait RepositoryService - method hasOwnerRole,0.0,9.0,1.0,9.0,1.0,9.0,1.0
HEAD,0,package service - trait RepositoryService - method hasDeveloperRole,0.0,13.0,1.0,13.0,1.0,13.0,1.0
HEAD,0,package service - trait RepositoryService - method hasGuestRole,0.0,12.0,1.0,12.0,1.0,12.0,1.0
HEAD,0,package service - trait RepositoryService - method isReadable,0.0,15.0,1.0,15.0,1.0,15.0,1.0
HEAD,0,package service - trait RepositoryService - method getForkedCount,0.0,4.0,1.0,4.0,1.0,4.0,1.0
HEAD,0,package service - trait RepositoryService - method getOpenMilestones,0.0,7.0,1.0,7.0,1.0,7.0,1.0
HEAD,0,package service - trait RepositoryService - method getForkedRepositories,0.0,7.0,1.0,7.0,1.0,7.0,1.0
HEAD,0,package service - trait RepositoryService - method getContentTemplate,0.0,27.0,1.0,27.0,1.0,27.0,1.0
HEAD,0,package service - trait RepositoryService - method getContentTemplate - method choiceTemplate,0.0,8.0,1.0,8.0,1.0,8.0,1.0
HEAD,0,package service - object RepositoryService - class RepositoryInfo - method httpUrl,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package service - object RepositoryService - class RepositoryInfo - method sshUrl,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package service - object RepositoryService - class RepositoryInfo - method splitPath,0.0,11.0,1.0,11.0,1.0,11.0,1.0
HEAD,0,package service - object RepositoryService - method httpUrl,0.0,2.0,1.0,2.0,1.0,2.0,1.0
HEAD,0,package service - object RepositoryService - method sshUrl,0.0,2.0,1.0,2.0,1.0,2.0,1.0
HEAD,0,package service - object RepositoryService - method openRepoUrl,0.0,2.0,1.0,2.0,1.0,2.0,1.0
HEAD,0,package service - object RepositoryService - method readmeFiles,0.0,4.0,1.0,4.0,1.0,4.0,1.0
HEAD,0,package api - trait ApiGitReferenceControllerBase - method notFound,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package api - trait ApiGitReferenceControllerBase - method getRef,2.0,21.0,0.875,6.0,0.25,12.0,0.5
HEAD,0,package util - object GpgUtil - method str2GpgKeyId,0.0,7.0,1.0,7.0,1.0,7.0,1.0
HEAD,0,package util - object GpgUtil - method getGpgKey,0.0,13.0,1.0,13.0,1.0,13.0,1.0
HEAD,1,package util - object GpgUtil - method verifySign,0.0,26.0,1.0,26.0,1.0,26.0,1.0
HEAD,0,package service - trait OpenIDConnectService - method createOIDCAuthenticationRequest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package service - trait OpenIDConnectService - method authenticate,1.0,21.0,0.875,14.0,0.5833333333333334,17.5,0.7291666666666666
HEAD,0,package service - trait OpenIDConnectService - method validateOIDCAuthenticationResponse,1.0,16.0,0.6153846153846154,16.0,0.6153846153846154,16.0,0.6153846153846154
HEAD,1,package service - trait OpenIDConnectService - method obtainOIDCToken,1.0,21.0,0.75,12.0,0.42857142857142855,16.5,0.5892857142857143
HEAD,1,package service - trait OpenIDConnectService - method validateOIDCTokenResponse,1.0,25.0,0.8333333333333334,21.0,0.7,23.0,0.7666666666666667
HEAD,0,package util - object Keys - object Session - method Issues,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package util - object Keys - object Session - method Pulls,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package util - object Keys - object Session - method Upload,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package util - object Keys - object Request - method Cache,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait IndexControllerBase - method signin,0.0,17.0,1.0,17.0,1.0,17.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method accountWebHookForm,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait AccountControllerBase - method accountWebHook,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait AccountControllerBase - method accountWebHook - <$anon: <error>> - method validate,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait AccountControllerBase - method accountWebhookEvents,0.0,13.0,1.0,13.0,1.0,13.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method accountWebhookEvents - <$anon: <error>> - method convert,0.0,5.0,1.0,5.0,1.0,5.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method accountWebhookEvents - <$anon: <error>> - method validate,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package controller - trait AccountControllerBase - method _headers,0.0,3.0,1.0,3.0,1.0,3.0,1.0
