commit,faults,path,SwitchCount,MaxStretch,MaxStretchNormalized,MinStretch,MinStretchNormalized,AvgStretch,AvgStretchNormalized
HEAD,0,package teamSearch - class TeamSearchConfig,0.0,4.0,1.0,4.0,1.0,4.0,1.0
HEAD,4,package teamSearch - class Env,0.0,39.0,1.0,39.0,1.0,39.0,1.0
HEAD,3,package teamSearch - class Env - method cli - <$anon: lila.common.Cli>,0.0,5.0,1.0,5.0,1.0,5.0,1.0
HEAD,1,package teamSearch - class Env - <none>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,18,package forum - class TopicApi,3.0,127.0,0.5799086757990868,5.0,0.0228310502283105,64.5,0.2945205479452055
HEAD,0,package forum - class TopicApi - object findDuplicate,0.0,12.0,1.0,12.0,1.0,12.0,1.0
HEAD,16,package mod - class AssessApi,0.0,249.0,1.0,249.0,1.0,249.0,1.0
HEAD,13,package lila - package user - package object user,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,8,package html - package relay - object show,0.0,57.0,1.0,57.0,1.0,57.0,1.0
HEAD,15,package user - object mod,0.0,803.0,1.0,803.0,1.0,803.0,1.0
HEAD,0,package search - class SearchConfig,0.0,5.0,1.0,5.0,1.0,5.0,1.0
HEAD,4,package search - class Env,0.0,13.0,1.0,13.0,1.0,13.0,1.0
HEAD,7,package api - class LobbyApi,0.0,35.0,1.0,35.0,1.0,35.0,1.0
HEAD,2,package coach - class Coach,0.0,21.0,1.0,21.0,1.0,21.0,1.0
HEAD,2,package coach - object Coach,0.0,27.0,1.0,27.0,1.0,27.0,1.0
HEAD,0,package coach - object Coach - class WithUser,0.0,3.0,1.0,3.0,1.0,3.0,1.0
HEAD,1,package coach - object Coach - class Id,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,1,package coach - object Coach - class Listed,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,1,package coach - object Coach - class Available,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,1,package coach - object Coach - class User,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package common - class SimpleOpening,0.0,9.0,1.0,9.0,1.0,9.0,1.0
HEAD,0,package common - object SimpleOpening,0.0,28.0,1.0,28.0,1.0,28.0,1.0
HEAD,0,package common - object SimpleOpening - class Key,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package common - object SimpleOpening - class Name,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package lila - package ublog - package object ublog,0.0,0.0,0.0,0.0,0.0,0.0,0.0
