commit,faults,path,SwitchCount,MaxStretch,MaxStretchNormalized,MinStretch,MinStretchNormalized,AvgStretch,AvgStretchNormalized
HEAD,6,package metals - class InteractiveSemanticdbs,6.0,76.0,0.6386554621848739,8.0,0.06722689075630252,26.571428571428573,0.22328931572629052
HEAD,2,package metals - trait AdjustLspData,7.0,76.0,0.8444444444444444,1.0,0.011111111111111112,12.5,0.1388888888888889
HEAD,0,package metals - class AdjustedLspData,1.0,21.0,0.84,6.0,0.24,13.5,0.54
HEAD,0,package metals - object DefaultAdjustedData,0.0,29.0,1.0,29.0,1.0,29.0,1.0
HEAD,0,package metals - object AdjustedLspData,0.0,13.0,1.0,13.0,1.0,13.0,1.0
HEAD,0,package tests - class BaseWorkspaceSymbolSuite,0.0,30.0,1.0,30.0,1.0,30.0,1.0
HEAD,0,package mtags - class OverloadDisambiguator,0.0,10.0,1.0,10.0,1.0,10.0,1.0
HEAD,0,package metals - package logging - package object logging,2.0,16.0,0.6153846153846154,7.0,0.2692307692307692,11.333333333333334,0.4358974358974359
HEAD,0,package process - object ExitCodes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package example - class ForComprehensions,0.0,38.0,1.0,38.0,1.0,38.0,1.0
HEAD,1,package <empty> - object TestGroups,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package metals - object Memory,1.0,63.0,0.84,14.0,0.18666666666666668,38.5,0.5133333333333333
HEAD,0,package internal - package jdk - package object jdk,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package mtags - class AtomicTrieMap,5.0,10.0,0.35714285714285715,4.0,0.14285714285714285,7.166666666666667,0.255952380952381
HEAD,0,package mtags - class AtomicTrieMap - method updateWith - <$anon: java.util.function.BiFunction[K V V]>,3.0,8.0,0.5,4.0,0.25,6.5,0.40625
HEAD,0,package mtags - object AtomicTrieMap,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package metals - object DiagnosticCodes,0.0,10.0,1.0,10.0,1.0,10.0,1.0
HEAD,1,package metals - class ScalafixProvider,8.0,247.0,0.38836477987421386,16.0,0.025157232704402517,80.55555555555556,0.126659678546471
HEAD,0,package metals - object ScalafixProvider,1.0,132.0,0.9777777777777777,80.0,0.5925925925925926,106.0,0.7851851851851852
HEAD,0,package metals - object ScalafixProvider - class ScalafixRulesClasspathKey,0.0,4.0,1.0,4.0,1.0,4.0,1.0
HEAD,0,package metals - object ScalafixProvider - object ScalafixRulesClasspathKey,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package metals - object ScalafixProvider - class ScalafixRunException,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package pc - class BaseJavaCompletionSuite,2.0,28.0,0.6222222222222222,5.0,0.1111111111111111,17.0,0.37777777777777777
HEAD,1,package tests - class QuickBuild,0.0,217.0,1.0,217.0,1.0,217.0,1.0
HEAD,0,package tests - object QuickBuild,12.0,93.0,0.6158940397350994,1.0,0.006622516556291391,15.76923076923077,0.1044319918492104
HEAD,0,package tests - class BaseInlayHintsLspSuite,0.0,49.0,1.0,49.0,1.0,49.0,1.0
HEAD,0,package completions - trait MultilineCommentCompletions,0.0,37.0,1.0,37.0,1.0,37.0,1.0
HEAD,0,package completions - trait MultilineCommentCompletions - class MultilineCommentCompletion,0.0,24.0,1.0,24.0,1.0,24.0,1.0
HEAD,0,package printers - object MarkdownGenerator,0.0,74.0,1.0,74.0,1.0,74.0,1.0
HEAD,1,package bill - object Bill,22.0,128.0,0.23703703703703705,2.0,0.003703703703703704,33.30434782608695,0.06167471819645732
HEAD,1,package bill - object Bill - class Server,12.0,103.0,0.30383480825958703,3.0,0.008849557522123894,38.38461538461539,0.11322895393691855
HEAD,0,package bill - object Bill - method handleCompile - <$anon: <error>>,3.0,18.0,0.6206896551724138,2.0,0.06896551724137931,8.25,0.28448275862068967
HEAD,0,package completions - trait MillIvyCompletions,0.0,42.0,1.0,42.0,1.0,42.0,1.0
HEAD,0,package completions - trait MillIvyCompletions - object MillIvyExtractor,0.0,16.0,1.0,16.0,1.0,16.0,1.0
HEAD,0,package completions - trait MillIvyCompletions - class MillIvyCompletion,0.0,22.0,1.0,22.0,1.0,22.0,1.0
HEAD,0,package printer - class RefinedDotcPrinter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package printer - class <error>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package printer - class <error>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package bsp - class BuildChange,0.0,6.0,1.0,6.0,1.0,6.0,1.0
HEAD,0,package bsp - object BuildChange,0.0,6.0,1.0,6.0,1.0,6.0,1.0
HEAD,0,package bsp - object BuildChange - object None,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package bsp - object BuildChange - object Failed,0.0,1.0,1.0,1.0,1.0,1.0,1.0
