commit,faults,path,SwitchCount,MaxStretch,MaxStretchNormalized,MinStretch,MinStretchNormalized,AvgStretch,AvgStretchNormalized
HEAD,1,package pc - package completions - class Completions,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package metals - class ProjectMetalsLspService,151.0,96.0,0.0707442888725129,1.0,7.369196757553427E-4,13.947368421052632,0.010278090214482411
HEAD,1,package metals - trait AdjustLspData,7.0,67.0,0.8271604938271605,1.0,0.012345679012345678,11.375,0.1404320987654321
HEAD,0,package metals - class AdjustedLspData,1.0,21.0,0.84,6.0,0.24,13.5,0.54
HEAD,0,package metals - object DefaultAdjustedData,0.0,29.0,1.0,29.0,1.0,29.0,1.0
HEAD,0,package metals - object AdjustedLspData,0.0,13.0,1.0,13.0,1.0,13.0,1.0
HEAD,1,package metals - class MetalsLspService,125.0,106.0,0.06053683609366076,1.0,5.711022272986865E-4,21.166666666666668,0.012088330477822198
HEAD,1,package pc - trait PcCollector,0.0,322.0,1.0,322.0,1.0,322.0,1.0
HEAD,0,package pc - class SimpleCollector,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package pc - class WithSymbolSearchCollector,0.0,10.0,1.0,10.0,1.0,10.0,1.0
HEAD,1,package pc - trait WorkspaceSymbolSearch,12.0,94.0,0.46534653465346537,2.0,0.009900990099009901,20.53846153846154,0.10167555217060169
HEAD,0,package pc - trait WorkspaceSymbolSearch - class CompilerSearchVisitor,5.0,24.0,0.6486486486486487,2.0,0.05405405405405406,8.333333333333334,0.22522522522522523
HEAD,1,package metals - class Compilers,24.0,665.0,0.4583046175051689,3.0,0.002067539627842867,68.4,0.04713990351481737
HEAD,0,package metals - object Compilers,0.0,11.0,1.0,11.0,1.0,11.0,1.0
HEAD,0,package metals - object Compilers - trait PresentationCompilerKey,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,0,package metals - object Compilers - object PresentationCompilerKey,0.0,7.0,1.0,7.0,1.0,7.0,1.0
HEAD,0,package metals - object Compilers - object PresentationCompilerKey - class ScalaBuildTarget,0.0,2.0,1.0,2.0,1.0,2.0,1.0
HEAD,0,package metals - object Compilers - object PresentationCompilerKey - class JavaBuildTarget,0.0,2.0,1.0,2.0,1.0,2.0,1.0
HEAD,0,package metals - object Compilers - object PresentationCompilerKey - object Default,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HEAD,1,package pc - class PcReferencesProvider,0.0,35.0,1.0,35.0,1.0,35.0,1.0
HEAD,0,package pc - class LocalPcReferencesProvider,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package pc - class BySymbolPCReferencesProvider,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package pc - object PcReferencesProvider,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package mtags - object MtagsEnrichments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package mtags - trait MtagsEnrichments,5.0,119.0,0.5063829787234042,3.0,0.01276595744680851,47.833333333333336,0.20354609929078016
HEAD,0,package mtags - trait MtagsEnrichments - class XtensionIteratorCollection,0.0,11.0,1.0,11.0,1.0,11.0,1.0
HEAD,0,package mtags - trait MtagsEnrichments - class XtensionOffsetParams,0.0,26.0,1.0,26.0,1.0,26.0,1.0
