commit,faults,path,SwitchCount,MaxStretch,MaxStretchNormalized,MinStretch,MinStretchNormalized,AvgStretch,AvgStretchNormalized
HEAD,1,package internal - class FiberRuntime,165.0,104.0,0.07412687099073414,1.0,7.127583749109052E-4,11.520958083832335,0.008211659361248992
HEAD,0,package internal - class FiberRuntime - method unsafe - <$anon: FiberRuntime.this.UnsafeAPI>,6.0,7.0,0.5384615384615384,1.0,0.07692307692307693,3.4285714285714284,0.26373626373626374
HEAD,1,package internal - object FiberRuntime,2.0,43.0,0.7818181818181819,12.0,0.21818181818181817,24.0,0.43636363636363634
HEAD,0,package internal - object FiberRuntime - object EvaluationSignal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package internal - object FiberRuntime - <$anon: zio.Cause.Folder[Set[zio.metrics.MetricLabel] Any Unit]>,0.0,13.0,1.0,13.0,1.0,13.0,1.0
HEAD,0,package zio - trait ConfigProvider,0.0,100.0,1.0,100.0,1.0,100.0,1.0
HEAD,0,package zio - trait ConfigProvider - method flatten - <$anon: zio.ConfigProvider.Flat>,0.0,7.0,1.0,7.0,1.0,7.0,1.0
HEAD,1,package zio - object ConfigProvider,18.0,193.0,0.29154078549848944,1.0,0.0015105740181268882,38.21052631578947,0.057719828271585304
HEAD,0,package zio - object ConfigProvider - trait Flat,0.0,110.0,1.0,110.0,1.0,110.0,1.0
HEAD,0,package zio - object ConfigProvider - trait Flat - method contramapPath - <$anon: zio.ConfigProvider.Flat>,0.0,17.0,1.0,17.0,1.0,17.0,1.0
HEAD,0,package zio - object ConfigProvider - trait Flat - method nested - <$anon: zio.ConfigProvider.Flat>,0.0,17.0,1.0,17.0,1.0,17.0,1.0
HEAD,0,package zio - object ConfigProvider - trait Flat - method orElse - <$anon: zio.ConfigProvider.Flat>,0.0,34.0,1.0,34.0,1.0,34.0,1.0
HEAD,0,package zio - object ConfigProvider - trait Flat - method unnested - <$anon: zio.ConfigProvider.Flat>,0.0,17.0,1.0,17.0,1.0,17.0,1.0
HEAD,0,package zio - object ConfigProvider - object Flat,2.0,75.0,0.8522727272727273,6.0,0.06818181818181818,31.666666666666668,0.35984848484848486
HEAD,0,package zio - object ConfigProvider - object Flat - trait PathPatch,0.0,37.0,1.0,37.0,1.0,37.0,1.0
